block_id,model,episode_idx,reward
0,DQN,0,250
0,DQN,1,170
0,DQN,2,250
0,DQN,3,500
0,DQN,4,530
0,DQN,5,500
0,DQN,6,500
0,DQN,7,170
0,DQN,8,310
0,DQN,9,530
0,DQN,10,500
0,DQN,11,250
0,DQN,12,530
0,DQN,13,250
0,DQN,14,500
0,DQN,15,530
0,DQN,16,250
0,DQN,17,530
0,DQN,18,250
0,DQN,19,270
0,DQN,20,500
0,DQN,21,500
0,DQN,22,250
0,DQN,23,170
0,DQN,24,500
0,DQN,25,530
0,DQN,26,500
0,DQN,27,500
0,DQN,28,170
0,DQN,29,250
0,DDQN,0,300
0,DDQN,1,300
0,DDQN,2,380
0,DDQN,3,220
0,DDQN,4,300
0,DDQN,5,310
0,DDQN,6,220
0,DDQN,7,300
0,DDQN,8,1870
0,DDQN,9,1830
0,DDQN,10,1870
0,DDQN,11,270
0,DDQN,12,220
0,DDQN,13,220
0,DDQN,14,300
0,DDQN,15,1870
0,DDQN,16,380
0,DDQN,17,410
0,DDQN,18,1870
0,DDQN,19,380
0,DDQN,20,220
0,DDQN,21,1980
0,DDQN,22,300
0,DDQN,23,1870
0,DDQN,24,1870
0,DDQN,25,220
0,DDQN,26,160
0,DDQN,27,300
0,DDQN,28,860
0,DDQN,29,300
0,NoisyDQN,0,830
0,NoisyDQN,1,300
0,NoisyDQN,2,460
0,NoisyDQN,3,300
0,NoisyDQN,4,830
0,NoisyDQN,5,310
0,NoisyDQN,6,470
0,NoisyDQN,7,310
0,NoisyDQN,8,300
0,NoisyDQN,9,300
0,NoisyDQN,10,510
0,NoisyDQN,11,460
0,NoisyDQN,12,830
0,NoisyDQN,13,460
0,NoisyDQN,14,860
0,NoisyDQN,15,380
0,NoisyDQN,16,300
0,NoisyDQN,17,320
0,NoisyDQN,18,830
0,NoisyDQN,19,860
0,NoisyDQN,20,460
0,NoisyDQN,21,460
0,NoisyDQN,22,830
0,NoisyDQN,23,310
0,NoisyDQN,24,300
0,NoisyDQN,25,290
0,NoisyDQN,26,300
0,NoisyDQN,27,860
0,NoisyDQN,28,300
0,NoisyDQN,29,460
0,DuelingDQN,0,370
0,DuelingDQN,1,500
0,DuelingDQN,2,400
0,DuelingDQN,3,500
0,DuelingDQN,4,400
0,DuelingDQN,5,400
0,DuelingDQN,6,500
0,DuelingDQN,7,360
0,DuelingDQN,8,500
0,DuelingDQN,9,400
0,DuelingDQN,10,370
0,DuelingDQN,11,810
0,DuelingDQN,12,500
0,DuelingDQN,13,400
0,DuelingDQN,14,400
0,DuelingDQN,15,400
0,DuelingDQN,16,430
0,DuelingDQN,17,400
0,DuelingDQN,18,780
0,DuelingDQN,19,400
0,DuelingDQN,20,370
0,DuelingDQN,21,370
0,DuelingDQN,22,370
0,DuelingDQN,23,810
0,DuelingDQN,24,350
0,DuelingDQN,25,370
0,DuelingDQN,26,810
0,DuelingDQN,27,500
0,DuelingDQN,28,930
0,DuelingDQN,29,500
0,DistributionalDQN,0,210
0,DistributionalDQN,1,200
0,DistributionalDQN,2,200
0,DistributionalDQN,3,200
0,DistributionalDQN,4,220
0,DistributionalDQN,5,200
0,DistributionalDQN,6,220
0,DistributionalDQN,7,260
0,DistributionalDQN,8,260
0,DistributionalDQN,9,210
0,DistributionalDQN,10,210
0,DistributionalDQN,11,210
0,DistributionalDQN,12,260
0,DistributionalDQN,13,220
0,DistributionalDQN,14,220
0,DistributionalDQN,15,200
0,DistributionalDQN,16,200
0,DistributionalDQN,17,220
0,DistributionalDQN,18,260
0,DistributionalDQN,19,260
0,DistributionalDQN,20,210
0,DistributionalDQN,21,260
0,DistributionalDQN,22,200
0,DistributionalDQN,23,220
0,DistributionalDQN,24,200
0,DistributionalDQN,25,220
0,DistributionalDQN,26,200
0,DistributionalDQN,27,260
0,DistributionalDQN,28,210
0,DistributionalDQN,29,260
1,DQN,0,140
1,DQN,1,160
1,DQN,2,140
1,DQN,3,190
1,DQN,4,180
1,DQN,5,175
1,DQN,6,100
1,DQN,7,165
1,DQN,8,170
1,DQN,9,100
1,DQN,10,165
1,DQN,11,210
1,DQN,12,150
1,DQN,13,160
