block_id,model,episode_idx,reward
0,DQN,0,149
0,DQN,1,44
0,DQN,2,44
0,DQN,3,149
0,DQN,4,40
0,DQN,5,149
0,DQN,6,33
0,DQN,7,40
0,DQN,8,44
0,DQN,9,41
0,DQN,10,33
0,DQN,11,40
0,DQN,12,40
0,DQN,13,149
0,DQN,14,149
0,DQN,15,44
0,DQN,16,40
0,DQN,17,33
0,DQN,18,40
0,DQN,19,33
0,DQN,20,149
0,DQN,21,40
0,DQN,22,30
0,DQN,23,40
0,DQN,24,44
0,DQN,25,149
0,DQN,26,33
0,DQN,27,32
0,DQN,28,33
0,DQN,29,33
0,DDQN,0,141
0,DDQN,1,40
0,DDQN,2,140
0,DDQN,3,135
0,DDQN,4,141
0,DDQN,5,140
0,DDQN,6,135
0,DDQN,7,40
0,DDQN,8,141
0,DDQN,9,40
0,DDQN,10,140
0,DDQN,11,40
0,DDQN,12,40
0,DDQN,13,135
0,DDQN,14,40
0,DDQN,15,40
0,DDQN,16,135
0,DDQN,17,135
0,DDQN,18,40
0,DDQN,19,140
0,DDQN,20,40
0,DDQN,21,141
0,DDQN,22,40
0,DDQN,23,140
0,DDQN,24,141
0,DDQN,25,40
0,DDQN,26,135
0,DDQN,27,141
0,DDQN,28,135
0,DDQN,29,40
0,NoisyDQN,0,87
0,NoisyDQN,1,65
0,NoisyDQN,2,126
0,NoisyDQN,3,65
0,NoisyDQN,4,65
0,NoisyDQN,5,126
0,NoisyDQN,6,118
0,NoisyDQN,7,119
0,NoisyDQN,8,87
0,NoisyDQN,9,65
0,NoisyDQN,10,65
0,NoisyDQN,11,87
0,NoisyDQN,12,126
0,NoisyDQN,13,126
0,NoisyDQN,14,65
0,NoisyDQN,15,65
0,NoisyDQN,16,119
0,NoisyDQN,17,65
0,NoisyDQN,18,119
0,NoisyDQN,19,87
0,NoisyDQN,20,126
0,NoisyDQN,21,126
0,NoisyDQN,22,87
0,NoisyDQN,23,126
0,NoisyDQN,24,87
0,NoisyDQN,25,119
0,NoisyDQN,26,126
0,NoisyDQN,27,87
0,NoisyDQN,28,65
0,NoisyDQN,29,87
0,DuelingDQN,0,79
0,DuelingDQN,1,79
0,DuelingDQN,2,79
0,DuelingDQN,3,67
0,DuelingDQN,4,67
0,DuelingDQN,5,124
0,DuelingDQN,6,79
0,DuelingDQN,7,67
0,DuelingDQN,8,67
0,DuelingDQN,9,124
0,DuelingDQN,10,67
0,DuelingDQN,11,124
0,DuelingDQN,12,79
0,DuelingDQN,13,79
0,DuelingDQN,14,79
