block_id,model,episode_idx,reward
0,DQN,0,420
0,DQN,1,651
0,DQN,2,651
0,DQN,3,672
0,DQN,4,651
0,DQN,5,693
0,DQN,6,609
0,DQN,7,462
0,DQN,8,672
0,DQN,9,651
0,DQN,10,630
0,DQN,11,651
0,DQN,12,693
0,DQN,13,504
0,DQN,14,651
0,DQN,15,651
0,DQN,16,567
0,DQN,17,651
0,DQN,18,672
0,DQN,19,441
0,DQN,20,609
0,DQN,21,630
0,DQN,22,609
0,DQN,23,651
0,DQN,24,609
0,DQN,25,609
0,DQN,26,735
0,DQN,27,630
0,DQN,28,651
0,DQN,29,588
0,DDQN,0,567
0,DDQN,1,735
0,DDQN,2,651
0,DDQN,3,714
0,DDQN,4,630
0,DDQN,5,714
0,DDQN,6,399
0,DDQN,7,693
0,DDQN,8,672
0,DDQN,9,735
0,DDQN,10,315
0,DDQN,11,273
0,DDQN,12,630
0,DDQN,13,357
0,DDQN,14,756
0,DDQN,15,441
0,DDQN,16,756
0,DDQN,17,672
0,DDQN,18,714
0,DDQN,19,756
0,DDQN,20,714
0,DDQN,21,630
0,DDQN,22,651
0,DDQN,23,756
0,DDQN,24,441
0,DDQN,25,147
0,DDQN,26,672
0,DDQN,27,672
0,DDQN,28,651
0,DDQN,29,693
0,NoisyDQN,0,567
0,NoisyDQN,1,462
0,NoisyDQN,2,273
0,NoisyDQN,3,462
0,NoisyDQN,4,462
0,NoisyDQN,5,441
0,NoisyDQN,6,630
0,NoisyDQN,7,651
0,NoisyDQN,8,441
0,NoisyDQN,9,609
0,NoisyDQN,10,483
0,NoisyDQN,11,315
0,NoisyDQN,12,504
0,NoisyDQN,13,630
0,NoisyDQN,14,462
0,NoisyDQN,15,651
0,NoisyDQN,16,693
0,NoisyDQN,17,462
0,NoisyDQN,18,672
0,NoisyDQN,19,693
0,NoisyDQN,20,525
0,NoisyDQN,21,546
0,NoisyDQN,22,609
0,NoisyDQN,23,651
0,NoisyDQN,24,273
0,NoisyDQN,25,609
0,NoisyDQN,26,609
0,NoisyDQN,27,483
0,NoisyDQN,28,630
0,NoisyDQN,29,609
0,DuelingDQN,0,672
0,DuelingDQN,1,525
0,DuelingDQN,2,672
0,DuelingDQN,3,315
0,DuelingDQN,4,231
0,DuelingDQN,5,504
0,DuelingDQN,6,630
0,DuelingDQN,7,609
0,DuelingDQN,8,441
0,DuelingDQN,9,462
0,DuelingDQN,10,651
0,DuelingDQN,11,483
0,DuelingDQN,12,399
0,DuelingDQN,13,651
0,DuelingDQN,14,546
0,DuelingDQN,15,609
0,DuelingDQN,16,378
0,DuelingDQN,17,588
0,DuelingDQN,18,714
0,DuelingDQN,19,399
0,DuelingDQN,20,546
0,DuelingDQN,21,672
0,DuelingDQN,22,609
0,DuelingDQN,23,147
0,DuelingDQN,24,420
0,DuelingDQN,25,651
0,DuelingDQN,26,483
0,DuelingDQN,27,651
0,DuelingDQN,28,693
0,DuelingDQN,29,441
0,DistributionalDQN,0,630
0,DistributionalDQN,1,273
0,DistributionalDQN,2,651
0,DistributionalDQN,3,651
0,DistributionalDQN,4,693
0,DistributionalDQN,5,630
0,DistributionalDQN,6,609
0,DistributionalDQN,7,693
0,DistributionalDQN,8,651
0,DistributionalDQN,9,651
0,DistributionalDQN,10,672
0,DistributionalDQN,11,651
0,DistributionalDQN,12,630
0,DistributionalDQN,13,630
0,DistributionalDQN,14,630
0,DistributionalDQN,15,651
0,DistributionalDQN,16,651
0,DistributionalDQN,17,714
0,DistributionalDQN,18,630
0,DistributionalDQN,19,651
0,DistributionalDQN,20,630
0,DistributionalDQN,21,693
0,DistributionalDQN,22,651
0,DistributionalDQN,23,672
0,DistributionalDQN,24,651
0,DistributionalDQN,25,651
0,DistributionalDQN,26,630
0,DistributionalDQN,27,651
0,DistributionalDQN,28,651
0,DistributionalDQN,29,399
1,DQN,0,270
1,DQN,1,270
1,DQN,2,375
1,DQN,3,255
1,DQN,4,465
1,DQN,5,225
1,DQN,6,345
1,DQN,7,450
1,DQN,8,300
1,DQN,9,390
1,DQN,10,285
1,DQN,11,210
1,DQN,12,450
1,DQN,13,375
1,DQN,14,390
1,DQN,15,420
1,DQN,16,435
1,DQN,17,300
1,DQN,18,225
1,DQN,19,285
1,DQN,20,510
1,DQN,21,420
1,DQN,22,330
1,DQN,23,345
1,DQN,24,315
1,DQN,25,300
1,DQN,26,330
1,DQN,27,300
1,DQN,28,150
1,DQN,29,390
1,DDQN,0,465
1,DDQN,1,390
1,DDQN,2,360
1,DDQN,3,465
1,DDQN,4,285
1,DDQN,5,285
1,DDQN,6,435
1,DDQN,7,465
1,DDQN,8,345
1,DDQN,9,450
1,DDQN,10,405
1,DDQN,11,285
1,DDQN,12,465
1,DDQN,13,435
1,DDQN,14,480
1,DDQN,15,270
1,DDQN,16,435
1,DDQN,17,495
1,DDQN,18,465
1,DDQN,19,270
1,DDQN,20,480
1,DDQN,21,450
1,DDQN,22,540
1,DDQN,23,360
1,DDQN,24,510
1,DDQN,25,495
1,DDQN,26,420
1,DDQN,27,480
1,DDQN,28,480
1,DDQN,29,480
1,NoisyDQN,0,375
1,NoisyDQN,1,225
1,NoisyDQN,2,225
1,NoisyDQN,3,360
1,NoisyDQN,4,120
1,NoisyDQN,5,345
1,NoisyDQN,6,240
1,NoisyDQN,7,300
1,NoisyDQN,8,285
1,NoisyDQN,9,165
1,NoisyDQN,10,345
1,NoisyDQN,11,315
1,NoisyDQN,12,225
1,NoisyDQN,13,285
1,NoisyDQN,14,270
1,NoisyDQN,15,315
1,NoisyDQN,16,405
1,NoisyDQN,17,225
1,NoisyDQN,18,435
1,NoisyDQN,19,285
1,NoisyDQN,20,360
1,NoisyDQN,21,375
1,NoisyDQN,22,255
1,NoisyDQN,23,375
1,NoisyDQN,24,270
1,NoisyDQN,25,360
1,NoisyDQN,26,360
1,NoisyDQN,27,315
1,NoisyDQN,28,300
1,NoisyDQN,29,300
1,DuelingDQN,0,255
1,DuelingDQN,1,225
1,DuelingDQN,2,285
1,DuelingDQN,3,195
1,DuelingDQN,4,255
1,DuelingDQN,5,225
1,DuelingDQN,6,315
1,DuelingDQN,7,285
1,DuelingDQN,8,225
1,DuelingDQN,9,315
1,DuelingDQN,10,300
1,DuelingDQN,11,360
1,DuelingDQN,12,270
1,DuelingDQN,13,225
1,DuelingDQN,14,315
1,DuelingDQN,15,240
1,DuelingDQN,16,315
1,DuelingDQN,17,225
1,DuelingDQN,18,195
1,DuelingDQN,19,165
1,DuelingDQN,20,195
1,DuelingDQN,21,390
1,DuelingDQN,22,225
1,DuelingDQN,23,165
1,DuelingDQN,24,330
1,DuelingDQN,25,240
1,DuelingDQN,26,255
1,DuelingDQN,27,345
1,DuelingDQN,28,120
1,DuelingDQN,29,300
1,DistributionalDQN,0,435
1,DistributionalDQN,1,360
1,DistributionalDQN,2,285
1,DistributionalDQN,3,450
1,DistributionalDQN,4,450
1,DistributionalDQN,5,435
1,DistributionalDQN,6,390
1,DistributionalDQN,7,270
1,DistributionalDQN,8,480
1,DistributionalDQN,9,450
1,DistributionalDQN,10,330
1,DistributionalDQN,11,135
1,DistributionalDQN,12,465
1,DistributionalDQN,13,450
1,DistributionalDQN,14,540
1,DistributionalDQN,15,420
1,DistributionalDQN,16,525
1,DistributionalDQN,17,480
1,DistributionalDQN,18,480
1,DistributionalDQN,19,300
1,DistributionalDQN,20,465
1,DistributionalDQN,21,540
1,DistributionalDQN,22,360
1,DistributionalDQN,23,465
1,DistributionalDQN,24,300
1,DistributionalDQN,25,285
1,DistributionalDQN,26,435
1,DistributionalDQN,27,405
1,DistributionalDQN,28,270
1,DistributionalDQN,29,495
2,DQN,0,462
2,DQN,1,399
2,DQN,2,483
2,DQN,3,357
2,DQN,4,399
2,DQN,5,315
2,DQN,6,462
2,DQN,7,252
2,DQN,8,357
2,DQN,9,399
2,DQN,10,378
2,DQN,11,315
2,DQN,12,315
