block_id,model,episode_idx,reward
0,DQN,0,30
0,DQN,1,30
0,DQN,2,30
0,DQN,3,30
0,DQN,4,30
0,DQN,5,30
0,DQN,6,30
0,DQN,7,30
0,DQN,8,30
0,DQN,9,30
0,DQN,10,30
0,DQN,11,30
0,DQN,12,30
0,DQN,13,30
0,DQN,14,30
0,DQN,15,30
0,DQN,16,30
0,DQN,17,30
0,DQN,18,30
0,DQN,19,30
0,DQN,20,30
0,DQN,21,30
0,DQN,22,30
0,DQN,23,30
0,DQN,24,30
0,DQN,25,30
0,DQN,26,30
0,DQN,27,30
0,DQN,28,30
0,DQN,29,30
0,DDQN,0,20
0,DDQN,1,80
0,DDQN,2,20
0,DDQN,3,20
0,DDQN,4,80
0,DDQN,5,80
0,DDQN,6,90
0,DDQN,7,80
0,DDQN,8,80
0,DDQN,9,50
0,DDQN,10,80
0,DDQN,11,20
0,DDQN,12,50
0,DDQN,13,50
0,DDQN,14,80
0,DDQN,15,80
0,DDQN,16,80
0,DDQN,17,30
0,DDQN,18,80
0,DDQN,19,20
0,DDQN,20,80
0,DDQN,21,80
0,DDQN,22,110
0,DDQN,23,110
0,DDQN,24,80
0,DDQN,25,80
0,DDQN,26,80
0,DDQN,27,110
0,DDQN,28,110
0,DDQN,29,110
0,NoisyDQN,0,50
0,NoisyDQN,1,50
0,NoisyDQN,2,10
0,NoisyDQN,3,50
0,NoisyDQN,4,50
0,NoisyDQN,5,20
0,NoisyDQN,6,50
0,NoisyDQN,7,20
0,NoisyDQN,8,30
0,NoisyDQN,9,20
0,NoisyDQN,10,20
0,NoisyDQN,11,50
0,NoisyDQN,12,30
0,NoisyDQN,13,50
0,NoisyDQN,14,20
0,NoisyDQN,15,30
0,NoisyDQN,16,30
0,NoisyDQN,17,50
0,NoisyDQN,18,30
0,NoisyDQN,19,50
0,NoisyDQN,20,30
0,NoisyDQN,21,50
0,NoisyDQN,22,50
0,NoisyDQN,23,50
0,NoisyDQN,24,20
0,NoisyDQN,25,50
0,NoisyDQN,26,20
0,NoisyDQN,27,20
0,NoisyDQN,28,20
0,NoisyDQN,29,20
0,DuelingDQN,0,30
0,DuelingDQN,1,30
0,DuelingDQN,2,30
0,DuelingDQN,3,30
0,DuelingDQN,4,30
0,DuelingDQN,5,30
0,DuelingDQN,6,30
0,DuelingDQN,7,10
0,DuelingDQN,8,30
0,DuelingDQN,9,10
0,DuelingDQN,10,10
0,DuelingDQN,11,30
0,DuelingDQN,12,30
0,DuelingDQN,13,10
0,DuelingDQN,14,30
0,DuelingDQN,15,30
0,DuelingDQN,16,30
0,DuelingDQN,17,30
0,DuelingDQN,18,30
0,DuelingDQN,19,20
0,DuelingDQN,20,30
0,DuelingDQN,21,30
0,DuelingDQN,22,30
0,DuelingDQN,23,30
0,DuelingDQN,24,30
0,DuelingDQN,25,10
0,DuelingDQN,26,30
0,DuelingDQN,27,30
0,DuelingDQN,28,30
0,DuelingDQN,29,10
0,DistributionalDQN,0,30
0,DistributionalDQN,1,30
0,DistributionalDQN,2,10
0,DistributionalDQN,3,10
0,DistributionalDQN,4,10
0,DistributionalDQN,5,30
