block_id,model,episode_idx,reward
0,DQN,0,-6
0,DQN,1,-6
0,DQN,2,-5
0,DQN,3,-6
0,DQN,4,4
0,DQN,5,-6
0,DQN,6,1
0,DQN,7,0
0,DQN,8,-1
0,DQN,9,0
0,DQN,10,-2
0,DQN,11,-6
0,DQN,12,0
0,DQN,13,0
0,DQN,14,-6
0,DQN,15,0
0,DQN,16,-7
0,DQN,17,-4
0,DQN,18,0
0,DQN,19,-1
0,DQN,20,-6
0,DQN,21,-4
0,DQN,22,-6
0,DQN,23,-4
0,DQN,24,-6
0,DQN,25,-3
0,DQN,26,-4
0,DQN,27,-3
0,DQN,28,-4
0,DQN,29,-8
0,DDQN,0,-9
0,DDQN,1,0
0,DDQN,2,-8
0,DDQN,3,2
0,DDQN,4,-2
0,DDQN,5,-4
0,DDQN,6,3
0,DDQN,7,-9
0,DDQN,8,-3
0,DDQN,9,-7
0,DDQN,10,0
0,DDQN,11,-11
0,DDQN,12,-5
0,DDQN,13,-10
0,DDQN,14,-5
0,DDQN,15,-2
0,DDQN,16,-7
0,DDQN,17,-3
0,DDQN,18,-2
0,DDQN,19,-4
0,DDQN,20,-17
0,DDQN,21,-11
0,DDQN,22,0
0,DDQN,23,-7
0,DDQN,24,3
0,DDQN,25,-3
0,DDQN,26,1
0,DDQN,27,0
0,DDQN,28,0
0,DDQN,29,0
0,NoisyDQN,0,-4
0,NoisyDQN,1,-2
0,NoisyDQN,2,-9
0,NoisyDQN,3,-4
0,NoisyDQN,4,-2
0,NoisyDQN,5,-4
0,NoisyDQN,6,-12
0,NoisyDQN,7,0
0,NoisyDQN,8,0
0,NoisyDQN,9,-2
0,NoisyDQN,10,-4
0,NoisyDQN,11,0
0,NoisyDQN,12,-4
0,NoisyDQN,13,-4
0,NoisyDQN,14,-2
0,NoisyDQN,15,0
0,NoisyDQN,16,-3
0,NoisyDQN,17,-2
0,NoisyDQN,18,0
0,NoisyDQN,19,-4
0,NoisyDQN,20,-4
0,NoisyDQN,21,-4
0,NoisyDQN,22,-2
0,NoisyDQN,23,-4
0,NoisyDQN,24,-15
0,NoisyDQN,25,0
0,NoisyDQN,26,0
0,NoisyDQN,27,0
0,NoisyDQN,28,0
0,NoisyDQN,29,-7
0,DuelingDQN,0,-1
0,DuelingDQN,1,1
0,DuelingDQN,2,-20
0,DuelingDQN,3,-7
0,DuelingDQN,4,0
0,DuelingDQN,5,-5
0,DuelingDQN,6,-3
