block_id,model,episode_idx,reward
0,DQN,0,14
0,DQN,1,2
0,DQN,2,2
0,DQN,3,3
0,DQN,4,15
0,DQN,5,10
0,DQN,6,15
0,DQN,7,2
0,DQN,8,15
0,DQN,9,3
0,DQN,10,15
0,DQN,11,2
0,DQN,12,15
0,DQN,13,2
0,DQN,14,3
0,DQN,15,2
0,DQN,16,15
0,DQN,17,15
0,DQN,18,10
0,DQN,19,1
0,DQN,20,10
0,DQN,21,2
0,DQN,22,3
0,DQN,23,10
0,DQN,24,3
0,DQN,25,3
0,DQN,26,2
0,DQN,27,10
0,DQN,28,3
0,DQN,29,2
0,DDQN,0,3
0,DDQN,1,1
0,DDQN,2,10
0,DDQN,3,3
0,DDQN,4,15
0,DDQN,5,2
0,DDQN,6,2
0,DDQN,7,15
0,DDQN,8,10
0,DDQN,9,10
0,DDQN,10,2
0,DDQN,11,10
0,DDQN,12,10
0,DDQN,13,10
0,DDQN,14,10
0,DDQN,15,15
0,DDQN,16,2
0,DDQN,17,2
0,DDQN,18,3
0,DDQN,19,8
0,DDQN,20,2
0,DDQN,21,15
0,DDQN,22,3
0,DDQN,23,3
0,DDQN,24,3
0,DDQN,25,3
0,DDQN,26,2
0,DDQN,27,15
0,DDQN,28,3
0,DDQN,29,3
0,NoisyDQN,0,2
0,NoisyDQN,1,1
0,NoisyDQN,2,2
0,NoisyDQN,3,3
0,NoisyDQN,4,3
0,NoisyDQN,5,5
0,NoisyDQN,6,2
0,NoisyDQN,7,5
0,NoisyDQN,8,3
0,NoisyDQN,9,5
0,NoisyDQN,10,2
0,NoisyDQN,11,2
0,NoisyDQN,12,3
0,NoisyDQN,13,3
0,NoisyDQN,14,2
0,NoisyDQN,15,3
0,NoisyDQN,16,2
0,NoisyDQN,17,2
0,NoisyDQN,18,2
0,NoisyDQN,19,2
0,NoisyDQN,20,5
0,NoisyDQN,21,2
0,NoisyDQN,22,2
0,NoisyDQN,23,2
0,NoisyDQN,24,1
0,NoisyDQN,25,4
0,NoisyDQN,26,3
0,NoisyDQN,27,3
0,NoisyDQN,28,3
0,NoisyDQN,29,5
0,DuelingDQN,0,10
0,DuelingDQN,1,2
0,DuelingDQN,2,3
0,DuelingDQN,3,2
0,DuelingDQN,4,3
0,DuelingDQN,5,15
0,DuelingDQN,6,15
0,DuelingDQN,7,3
0,DuelingDQN,8,2
0,DuelingDQN,9,3
0,DuelingDQN,10,2
0,DuelingDQN,11,10
0,DuelingDQN,12,3
0,DuelingDQN,13,2
0,DuelingDQN,14,3
0,DuelingDQN,15,2
0,DuelingDQN,16,15
0,DuelingDQN,17,2
0,DuelingDQN,18,3
0,DuelingDQN,19,3
0,DuelingDQN,20,2
0,DuelingDQN,21,2
0,DuelingDQN,22,9
0,DuelingDQN,23,3
0,DuelingDQN,24,2
0,DuelingDQN,25,3
0,DuelingDQN,26,1
0,DuelingDQN,27,10
0,DuelingDQN,28,2
0,DuelingDQN,29,0
0,DistributionalDQN,0,0
0,DistributionalDQN,1,0
0,DistributionalDQN,2,0
0,DistributionalDQN,3,11
0,DistributionalDQN,4,0
0,DistributionalDQN,5,0
0,DistributionalDQN,6,11
0,DistributionalDQN,7,0
0,DistributionalDQN,8,0
0,DistributionalDQN,9,0
0,DistributionalDQN,10,0
0,DistributionalDQN,11,0
0,DistributionalDQN,12,0
0,DistributionalDQN,13,0
0,DistributionalDQN,14,0
0,DistributionalDQN,15,0
0,DistributionalDQN,16,0
0,DistributionalDQN,17,0
0,DistributionalDQN,18,11
0,DistributionalDQN,19,0
0,DistributionalDQN,20,0
0,DistributionalDQN,21,0
0,DistributionalDQN,22,11
0,DistributionalDQN,23,0
0,DistributionalDQN,24,0
0,DistributionalDQN,25,0
0,DistributionalDQN,26,0
0,DistributionalDQN,27,0
0,DistributionalDQN,28,0
0,DistributionalDQN,29,0
1,DQN,0,0
1,DQN,1,0
1,DQN,2,0
1,DQN,3,39
1,DQN,4,0
1,DQN,5,35
1,DQN,6,39
1,DQN,7,0
1,DQN,8,39
1,DQN,9,14
1,DQN,10,0
1,DQN,11,0
1,DQN,12,0
1,DQN,13,39
1,DQN,14,0
1,DQN,15,0
1,DQN,16,0
1,DQN,17,0
1,DQN,18,39
1,DQN,19,0
1,DQN,20,0
1,DQN,21,0
1,DQN,22,39
1,DQN,23,39
1,DQN,24,0
