block_id,model,episode_idx,reward
0,DQN,0,16100
0,DQN,1,16100
0,DQN,2,24400
0,DQN,3,13900
0,DQN,4,11000
0,DQN,5,16100
0,DQN,6,16100
0,DQN,7,16100
0,DQN,8,16100
0,DQN,9,16100
0,DQN,10,16100
0,DQN,11,24500
0,DQN,12,16100
0,DQN,13,24600
0,DQN,14,16100
0,DQN,15,16100
0,DQN,16,13900
0,DQN,17,16100
0,DQN,18,16100
0,DQN,19,16100
0,DQN,20,16100
0,DQN,21,16100
0,DQN,22,11000
0,DQN,23,16000
0,DQN,24,16100
0,DQN,25,13900
0,DQN,26,11000
0,DQN,27,11000
0,DQN,28,16100
0,DQN,29,13600
0,DDQN,0,11000
0,DDQN,1,11000
0,DDQN,2,11000
0,DDQN,3,11000
0,DDQN,4,11000
0,DDQN,5,11000
0,DDQN,6,11000
0,DDQN,7,11000
0,DDQN,8,11000
0,DDQN,9,11000
0,DDQN,10,11000
0,DDQN,11,11000
0,DDQN,12,11000
0,DDQN,13,11000
0,DDQN,14,11000
0,DDQN,15,11000
0,DDQN,16,11000
0,DDQN,17,11000
0,DDQN,18,11000
0,DDQN,19,11000
0,DDQN,20,11000
0,DDQN,21,11000
0,DDQN,22,11000
0,DDQN,23,11000
0,DDQN,24,11000
0,DDQN,25,11000
0,DDQN,26,11000
0,DDQN,27,11000
0,DDQN,28,11000
0,DDQN,29,11000
0,NoisyDQN,0,9000
0,NoisyDQN,1,7100
0,NoisyDQN,2,5800
0,NoisyDQN,3,10300
0,NoisyDQN,4,7100
0,NoisyDQN,5,5900
0,NoisyDQN,6,7400
0,NoisyDQN,7,11000
0,NoisyDQN,8,6700
0,NoisyDQN,9,9400
0,NoisyDQN,10,11000
0,NoisyDQN,11,10300
0,NoisyDQN,12,8300
0,NoisyDQN,13,7100
0,NoisyDQN,14,4800
0,NoisyDQN,15,6200
0,NoisyDQN,16,11000
0,NoisyDQN,17,11000
0,NoisyDQN,18,7100
0,NoisyDQN,19,7700
0,NoisyDQN,20,6700
0,NoisyDQN,21,4800
0,NoisyDQN,22,4800
0,NoisyDQN,23,6800
0,NoisyDQN,24,4800
0,NoisyDQN,25,7500
0,NoisyDQN,26,11000
0,NoisyDQN,27,11000
0,NoisyDQN,28,10600
0,NoisyDQN,29,10300
0,DuelingDQN,0,14400
0,DuelingDQN,1,15500
0,DuelingDQN,2,15600
0,DuelingDQN,3,15500
0,DuelingDQN,4,15500
0,DuelingDQN,5,15500
0,DuelingDQN,6,15500
0,DuelingDQN,7,15500
0,DuelingDQN,8,15500
0,DuelingDQN,9,15500
0,DuelingDQN,10,11000
0,DuelingDQN,11,15500
0,DuelingDQN,12,14200
0,DuelingDQN,13,14300
0,DuelingDQN,14,14200
0,DuelingDQN,15,14200
0,DuelingDQN,16,14200
0,DuelingDQN,17,11000
0,DuelingDQN,18,14200
0,DuelingDQN,19,15500
0,DuelingDQN,20,14200
0,DuelingDQN,21,15500
0,DuelingDQN,22,15500
0,DuelingDQN,23,15500
0,DuelingDQN,24,14200
0,DuelingDQN,25,15500
0,DuelingDQN,26,15500
0,DuelingDQN,27,15500
0,DuelingDQN,28,14200
0,DuelingDQN,29,15500
0,DistributionalDQN,0,11000
0,DistributionalDQN,1,4200
0,DistributionalDQN,2,7400
0,DistributionalDQN,3,6200
0,DistributionalDQN,4,4400
0,DistributionalDQN,5,3200
0,DistributionalDQN,6,4600
0,DistributionalDQN,7,4300
0,DistributionalDQN,8,4500
0,DistributionalDQN,9,6200
0,DistributionalDQN,10,4600
0,DistributionalDQN,11,6100
0,DistributionalDQN,12,4200
0,DistributionalDQN,13,6300
0,DistributionalDQN,14,6200
0,DistributionalDQN,15,5000
0,DistributionalDQN,16,6500
0,DistributionalDQN,17,4000
0,DistributionalDQN,18,4200
0,DistributionalDQN,19,3900
0,DistributionalDQN,20,6200
0,DistributionalDQN,21,4200
0,DistributionalDQN,22,4200
0,DistributionalDQN,23,3400
0,DistributionalDQN,24,11200
0,DistributionalDQN,25,4300
0,DistributionalDQN,26,5500
0,DistributionalDQN,27,3900
0,DistributionalDQN,28,11000
0,DistributionalDQN,29,4200
1,DQN,0,11670
1,DQN,1,13270
1,DQN,2,14270
1,DQN,3,13670
1,DQN,4,15070
1,DQN,5,13470
1,DQN,6,10290
1,DQN,7,11060
1,DQN,8,7700
1,DQN,9,12070
1,DQN,10,13670
1,DQN,11,16270
1,DQN,12,11470
1,DQN,13,11060
1,DQN,14,11060
1,DQN,15,15270
1,DQN,16,13270
1,DQN,17,13670
1,DQN,18,11670
1,DQN,19,11870
1,DQN,20,9380
1,DQN,21,13470
1,DQN,22,9380
1,DQN,23,7700
1,DQN,24,11670
1,DQN,25,11130
1,DQN,26,11670
1,DQN,27,9380
1,DQN,28,12270
1,DQN,29,14270
1,DDQN,0,7770
1,DDQN,1,10850
1,DDQN,2,10570
1,DDQN,3,9940
1,DDQN,4,20610
1,DDQN,5,19940
1,DDQN,6,21610
1,DDQN,7,9170
1,DDQN,8,10010
1,DDQN,9,12270
1,DDQN,10,9380
1,DDQN,11,14670
1,DDQN,12,7700
1,DDQN,13,25810
1,DDQN,14,23480
1,DDQN,15,19880
1,DDQN,16,21010
1,DDQN,17,11470
1,DDQN,18,22010
1,DDQN,19,23410
1,DDQN,20,21810
1,DDQN,21,23210
1,DDQN,22,8050
1,DDQN,23,20010
1,DDQN,24,22480
1,DDQN,25,21680
1,DDQN,26,16070
1,DDQN,27,22810
1,DDQN,28,26210
1,DDQN,29,14670
1,NoisyDQN,0,15270
1,NoisyDQN,1,13470
1,NoisyDQN,2,7770
1,NoisyDQN,3,12870
1,NoisyDQN,4,12270
1,NoisyDQN,5,11670
1,NoisyDQN,6,13070
1,NoisyDQN,7,12070
1,NoisyDQN,8,11870
1,NoisyDQN,9,21070
1,NoisyDQN,10,11060
1,NoisyDQN,11,19070
1,NoisyDQN,12,17070
1,NoisyDQN,13,16670
1,NoisyDQN,14,15870
1,NoisyDQN,15,16670
1,NoisyDQN,16,12070
1,NoisyDQN,17,10850
1,NoisyDQN,18,11470
1,NoisyDQN,19,13470
1,NoisyDQN,20,9660
1,NoisyDQN,21,12270
1,NoisyDQN,22,11200
1,NoisyDQN,23,17470
1,NoisyDQN,24,16270
1,NoisyDQN,25,20070
1,NoisyDQN,26,18270
1,NoisyDQN,27,14870
1,NoisyDQN,28,14470
1,NoisyDQN,29,13070
1,DuelingDQN,0,12070
1,DuelingDQN,1,12070
1,DuelingDQN,2,13670
1,DuelingDQN,3,15670
1,DuelingDQN,4,11200
1,DuelingDQN,5,11870
1,DuelingDQN,6,12670
1,DuelingDQN,7,11200
1,DuelingDQN,8,11200
1,DuelingDQN,9,14070
1,DuelingDQN,10,13470
1,DuelingDQN,11,11200
1,DuelingDQN,12,13470
1,DuelingDQN,13,10290
1,DuelingDQN,14,9800
1,DuelingDQN,15,13270
1,DuelingDQN,16,13270
1,DuelingDQN,17,15070
1,DuelingDQN,18,14670
1,DuelingDQN,19,14470
1,DuelingDQN,20,13870
1,DuelingDQN,21,15470
1,DuelingDQN,22,12070
1,DuelingDQN,23,15270
1,DuelingDQN,24,15270
1,DuelingDQN,25,18670
1,DuelingDQN,26,11200
1,DuelingDQN,27,14470
1,DuelingDQN,28,11200
1,DuelingDQN,29,11200
1,DistributionalDQN,0,10360
1,DistributionalDQN,1,8610
1,DistributionalDQN,2,7770
1,DistributionalDQN,3,6230
1,DistributionalDQN,4,8190
1,DistributionalDQN,5,7700
1,DistributionalDQN,6,9380
1,DistributionalDQN,7,10570
1,DistributionalDQN,8,7210
1,DistributionalDQN,9,8260
1,DistributionalDQN,10,6580
1,DistributionalDQN,11,12870
1,DistributionalDQN,12,6930
1,DistributionalDQN,13,11060
1,DistributionalDQN,14,5880
1,DistributionalDQN,15,18810
1,DistributionalDQN,16,6300
1,DistributionalDQN,17,6300
1,DistributionalDQN,18,10010
1,DistributionalDQN,19,6930
1,DistributionalDQN,20,5950
1,DistributionalDQN,21,7980
1,DistributionalDQN,22,7700
1,DistributionalDQN,23,7210
1,DistributionalDQN,24,7700
1,DistributionalDQN,25,6860
1,DistributionalDQN,26,5390
1,DistributionalDQN,27,4690
1,DistributionalDQN,28,8190
1,DistributionalDQN,29,6790
2,DQN,0,14000
2,DQN,1,11200
2,DQN,2,20300
2,DQN,3,15800
2,DQN,4,15800
2,DQN,5,15900
2,DQN,6,15900
2,DQN,7,18300
2,DQN,8,12400
2,DQN,9,11600
2,DQN,10,14200
2,DQN,11,13900
2,DQN,12,16500
2,DQN,13,19900
2,DQN,14,11500
2,DQN,15,16000
2,DQN,16,14500
2,DQN,17,17500
2,DQN,18,17300
2,DQN,19,17700
2,DQN,20,20300
2,DQN,21,11100
2,DQN,22,15700
2,DQN,23,15800
2,DQN,24,18300
2,DQN,25,11400
2,DQN,26,18300
2,DQN,27,15900
2,DQN,28,11500
2,DQN,29,11700
2,DDQN,0,13400
2,DDQN,1,11000
2,DDQN,2,13400
2,DDQN,3,15900
2,DDQN,4,15800
2,DDQN,5,31000
