block_id,model,episode_idx,reward
0,DQN,0,820.0
0,DQN,1,1120.0
0,DQN,2,2305.0
0,DQN,3,110.0
0,DQN,4,500.0
0,DQN,5,520.0
0,DQN,6,800.0
0,DQN,7,600.0
0,DQN,8,1260.0
0,DQN,9,1380.0
0,DQN,10,385.0
0,DQN,11,520.0
0,DQN,12,385.0
0,DQN,13,800.0
0,DQN,14,500.0
0,DQN,15,1440.0
0,DQN,16,1240.0
0,DQN,17,1160.0
0,DQN,18,1160.0
0,DQN,19,1280.0
0,DQN,20,700.0
0,DQN,21,310.0
0,DQN,22,120.0
0,DQN,23,660.0
0,DQN,24,420.0
0,DQN,25,980.0
0,DQN,26,295.0
0,DQN,27,1200.0
0,DQN,28,110.0
0,DQN,29,1480.0
0,DDQN,0,120.0
0,DDQN,1,370.0
0,DDQN,2,220.0
0,DDQN,3,235.0
0,DDQN,4,325.0
0,DDQN,5,325.0
0,DDQN,6,90.0
0,DDQN,7,220.0
0,DDQN,8,120.0
0,DDQN,9,110.0
0,DDQN,10,600.0
0,DDQN,11,100.0
0,DDQN,12,385.0
0,DDQN,13,220.0
0,DDQN,14,100.0
0,DDQN,15,220.0
0,DDQN,16,190.0
0,DDQN,17,130.0
0,DDQN,18,120.0
0,DDQN,19,100.0
0,DDQN,20,110.0
0,DDQN,21,175.0
0,DDQN,22,340.0
0,DDQN,23,70.0
0,DDQN,24,90.0
0,DDQN,25,265.0
0,DDQN,26,370.0
0,DDQN,27,190.0
0,DDQN,28,110.0
0,DDQN,29,355.0
0,NoisyDQN,0,880.0
0,NoisyDQN,1,480.0
0,NoisyDQN,2,960.0
0,NoisyDQN,3,250.0
0,NoisyDQN,4,1200.0
0,NoisyDQN,5,1340.0
0,NoisyDQN,6,1400.0
0,NoisyDQN,7,1120.0
0,NoisyDQN,8,600.0
0,NoisyDQN,9,500.0
0,NoisyDQN,10,420.0
0,NoisyDQN,11,1160.0
0,NoisyDQN,12,340.0
0,NoisyDQN,13,980.0
0,NoisyDQN,14,400.0
0,NoisyDQN,15,175.0
0,NoisyDQN,16,860.0
0,NoisyDQN,17,880.0
0,NoisyDQN,18,1420.0
0,NoisyDQN,19,480.0
0,NoisyDQN,20,1860.0
0,NoisyDQN,21,1160.0
0,NoisyDQN,22,1420.0
0,NoisyDQN,23,540.0
0,NoisyDQN,24,1380.0
0,NoisyDQN,25,420.0
0,NoisyDQN,26,420.0
0,NoisyDQN,27,1200.0
0,NoisyDQN,28,580.0
0,NoisyDQN,29,1120.0
0,DuelingDQN,0,280.0
0,DuelingDQN,1,120.0
0,DuelingDQN,2,480.0
0,DuelingDQN,3,1200.0
0,DuelingDQN,4,480.0
0,DuelingDQN,5,540.0
0,DuelingDQN,6,500.0
0,DuelingDQN,7,580.0
0,DuelingDQN,8,700.0
0,DuelingDQN,9,900.0
