block_id,model,episode_idx,reward
0,DQN,0,20.0
0,DQN,1,20.0
0,DQN,2,21.0
0,DQN,3,20.0
0,DQN,4,22.0
0,DQN,5,22.0
0,DQN,6,22.0
0,DQN,7,20.0
0,DQN,8,22.0
0,DQN,9,23.0
0,DQN,10,22.0
0,DQN,11,23.0
0,DQN,12,22.0
0,DQN,13,21.0
0,DQN,14,21.0
0,DQN,15,21.0
0,DQN,16,22.0
0,DQN,17,20.0
0,DQN,18,21.0
0,DQN,19,20.0
0,DQN,20,21.0
0,DQN,21,27.0
0,DQN,22,23.0
0,DQN,23,21.0
0,DQN,24,23.0
0,DQN,25,24.0
0,DQN,26,20.0
0,DQN,27,23.0
0,DQN,28,21.0
0,DQN,29,21.0
0,DDQN,0,20.0
0,DDQN,1,23.0
0,DDQN,2,21.0
0,DDQN,3,20.0
0,DDQN,4,24.0
0,DDQN,5,22.0
0,DDQN,6,23.0
0,DDQN,7,23.0
0,DDQN,8,23.0
0,DDQN,9,21.0
0,DDQN,10,23.0
0,DDQN,11,21.0
0,DDQN,12,22.0
0,DDQN,13,20.0
0,DDQN,14,21.0
0,DDQN,15,20.0
0,DDQN,16,25.0
0,DDQN,17,19.0
0,DDQN,18,21.0
0,DDQN,19,21.0
0,DDQN,20,21.0
0,DDQN,21,23.0
0,DDQN,22,21.0
0,DDQN,23,23.0
0,DDQN,24,19.0
0,DDQN,25,21.0
0,DDQN,26,21.0
0,DDQN,27,20.0
0,DDQN,28,22.0
0,DDQN,29,21.0
0,NoisyDQN,0,24.0
0,NoisyDQN,1,22.0
0,NoisyDQN,2,21.0
0,NoisyDQN,3,21.0
0,NoisyDQN,4,24.0
0,NoisyDQN,5,21.0
0,NoisyDQN,6,21.0
0,NoisyDQN,7,21.0
0,NoisyDQN,8,21.0
0,NoisyDQN,9,23.0
0,NoisyDQN,10,22.0
0,NoisyDQN,11,21.0
0,NoisyDQN,12,21.0
0,NoisyDQN,13,24.0
0,NoisyDQN,14,22.0
0,NoisyDQN,15,23.0
0,NoisyDQN,16,22.0
0,NoisyDQN,17,22.0
0,NoisyDQN,18,21.0
0,NoisyDQN,19,21.0
0,NoisyDQN,20,24.0
0,NoisyDQN,21,23.0
0,NoisyDQN,22,22.0
0,NoisyDQN,23,24.0
0,NoisyDQN,24,24.0
0,NoisyDQN,25,23.0
0,NoisyDQN,26,24.0
0,NoisyDQN,27,22.0
0,NoisyDQN,28,24.0
0,NoisyDQN,29,25.0
0,DuelingDQN,0,20.0
0,DuelingDQN,1,21.0
0,DuelingDQN,2,24.0
0,DuelingDQN,3,25.0
0,DuelingDQN,4,24.0
0,DuelingDQN,5,22.0
0,DuelingDQN,6,25.0
0,DuelingDQN,7,22.0
0,DuelingDQN,8,23.0
0,DuelingDQN,9,23.0
0,DuelingDQN,10,23.0
0,DuelingDQN,11,20.0
0,DuelingDQN,12,24.0
0,DuelingDQN,13,24.0
0,DuelingDQN,14,22.0
0,DuelingDQN,15,22.0
0,DuelingDQN,16,23.0
0,DuelingDQN,17,22.0
0,DuelingDQN,18,22.0
0,DuelingDQN,19,21.0
0,DuelingDQN,20,22.0
0,DuelingDQN,21,20.0
0,DuelingDQN,22,24.0
0,DuelingDQN,23,22.0
0,DuelingDQN,24,21.0
0,DuelingDQN,25,25.0
0,DuelingDQN,26,25.0
0,DuelingDQN,27,19.0
0,DuelingDQN,28,22.0
0,DuelingDQN,29,25.0
0,DistributionalDQN,0,20.0
0,DistributionalDQN,1,23.0
0,DistributionalDQN,2,21.0
0,DistributionalDQN,3,21.0
0,DistributionalDQN,4,21.0
0,DistributionalDQN,5,21.0
0,DistributionalDQN,6,22.0
0,DistributionalDQN,7,23.0
0,DistributionalDQN,8,20.0
0,DistributionalDQN,9,22.0
0,DistributionalDQN,10,20.0
0,DistributionalDQN,11,21.0
0,DistributionalDQN,12,21.0
0,DistributionalDQN,13,21.0
0,DistributionalDQN,14,22.0
0,DistributionalDQN,15,21.0
0,DistributionalDQN,16,20.0
0,DistributionalDQN,17,21.0
0,DistributionalDQN,18,22.0
0,DistributionalDQN,19,21.0
0,DistributionalDQN,20,21.0
0,DistributionalDQN,21,21.0
0,DistributionalDQN,22,24.0
0,DistributionalDQN,23,21.0
0,DistributionalDQN,24,20.0
0,DistributionalDQN,25,23.0
0,DistributionalDQN,26,20.0
0,DistributionalDQN,27,20.0
0,DistributionalDQN,28,21.0
0,DistributionalDQN,29,23.0
1,DQN,0,8.5
1,DQN,1,9.5
1,DQN,2,9.0
1,DQN,3,9.0
1,DQN,4,9.5
1,DQN,5,9.0
1,DQN,6,9.5
1,DQN,7,10.5
1,DQN,8,10.5
1,DQN,9,10.5
1,DQN,10,10.0
1,DQN,11,8.5
1,DQN,12,10.0
1,DQN,13,11.0
1,DQN,14,9.5
1,DQN,15,8.5
1,DQN,16,11.0
1,DQN,17,8.5
1,DQN,18,9.5
1,DQN,19,9.5
1,DQN,20,8.5
1,DQN,21,8.0
1,DQN,22,10.0
1,DQN,23,9.5
1,DQN,24,10.0
1,DQN,25,9.5
1,DQN,26,10.0
1,DQN,27,9.0
1,DQN,28,8.5
1,DQN,29,10.0
1,DDQN,0,9.5
1,DDQN,1,10.0
1,DDQN,2,10.5
1,DDQN,3,9.5
1,DDQN,4,10.5
1,DDQN,5,9.0
1,DDQN,6,9.0
1,DDQN,7,9.5
1,DDQN,8,9.5
1,DDQN,9,9.5
1,DDQN,10,8.5
1,DDQN,11,10.5
1,DDQN,12,8.5
1,DDQN,13,11.0
1,DDQN,14,10.5
1,DDQN,15,8.0
1,DDQN,16,10.5
1,DDQN,17,10.5
1,DDQN,18,10.5
1,DDQN,19,9.5
1,DDQN,20,10.5
1,DDQN,21,9.0
1,DDQN,22,9.0
1,DDQN,23,9.5
1,DDQN,24,9.5
1,DDQN,25,9.5
1,DDQN,26,10.0
1,DDQN,27,9.0
1,DDQN,28,11.0
1,DDQN,29,10.0
1,NoisyDQN,0,9.5
1,NoisyDQN,1,9.5
1,NoisyDQN,2,9.0
1,NoisyDQN,3,9.5
1,NoisyDQN,4,10.0
1,NoisyDQN,5,8.5
1,NoisyDQN,6,8.5
1,NoisyDQN,7,8.5
1,NoisyDQN,8,10.5
1,NoisyDQN,9,10.0
1,NoisyDQN,10,9.5
1,NoisyDQN,11,9.0
1,NoisyDQN,12,10.5
1,NoisyDQN,13,10.5
1,NoisyDQN,14,8.5
1,NoisyDQN,15,9.5
1,NoisyDQN,16,9.5
1,NoisyDQN,17,10.0
1,NoisyDQN,18,10.5
1,NoisyDQN,19,9.0
1,NoisyDQN,20,9.0
1,NoisyDQN,21,9.0
1,NoisyDQN,22,10.5
1,NoisyDQN,23,9.5
1,NoisyDQN,24,10.0
1,NoisyDQN,25,9.0
1,NoisyDQN,26,10.0
1,NoisyDQN,27,9.0
1,NoisyDQN,28,9.0
1,NoisyDQN,29,11.0
1,DuelingDQN,0,10.0
1,DuelingDQN,1,9.0
1,DuelingDQN,2,10.0
1,DuelingDQN,3,9.5
1,DuelingDQN,4,10.5
1,DuelingDQN,5,9.0
1,DuelingDQN,6,9.0
1,DuelingDQN,7,9.0
1,DuelingDQN,8,10.0
1,DuelingDQN,9,8.5
1,DuelingDQN,10,10.5
1,DuelingDQN,11,9.5
1,DuelingDQN,12,10.0
1,DuelingDQN,13,10.0
1,DuelingDQN,14,10.0
1,DuelingDQN,15,9.5
1,DuelingDQN,16,9.0
1,DuelingDQN,17,9.5
1,DuelingDQN,18,9.5
1,DuelingDQN,19,9.0
1,DuelingDQN,20,8.5
1,DuelingDQN,21,8.5
1,DuelingDQN,22,8.5
1,DuelingDQN,23,9.5
1,DuelingDQN,24,9.0
1,DuelingDQN,25,8.0
1,DuelingDQN,26,9.0
1,DuelingDQN,27,10.0
1,DuelingDQN,28,10.0
1,DuelingDQN,29,9.5
1,DistributionalDQN,0,8.0
1,DistributionalDQN,1,9.5
1,DistributionalDQN,2,9.0
1,DistributionalDQN,3,10.0
1,DistributionalDQN,4,10.0
1,DistributionalDQN,5,9.0
1,DistributionalDQN,6,11.0
1,DistributionalDQN,7,10.5
1,DistributionalDQN,8,9.0
1,DistributionalDQN,9,10.0
1,DistributionalDQN,10,10.0
1,DistributionalDQN,11,9.0
1,DistributionalDQN,12,9.5
1,DistributionalDQN,13,9.5
1,DistributionalDQN,14,10.0
1,DistributionalDQN,15,9.5
1,DistributionalDQN,16,9.0
1,DistributionalDQN,17,9.5
1,DistributionalDQN,18,9.5
1,DistributionalDQN,19,10.5
1,DistributionalDQN,20,10.0
1,DistributionalDQN,21,9.0
1,DistributionalDQN,22,9.5
1,DistributionalDQN,23,10.5
1,DistributionalDQN,24,9.5
1,DistributionalDQN,25,9.0
1,DistributionalDQN,26,9.5
1,DistributionalDQN,27,10.5
1,DistributionalDQN,28,10.5
1,DistributionalDQN,29,10.0
2,DQN,0,14.0
2,DQN,1,13.0
2,DQN,2,14.0
2,DQN,3,13.0
2,DQN,4,12.0
2,DQN,5,14.0
2,DQN,6,15.0
2,DQN,7,15.0
2,DQN,8,16.0
2,DQN,9,13.0
2,DQN,10,16.0
2,DQN,11,16.0
2,DQN,12,15.0
2,DQN,13,13.0
2,DQN,14,17.0
2,DQN,15,15.0
2,DQN,16,13.0
2,DQN,17,13.0
2,DQN,18,14.0
2,DQN,19,16.0
2,DQN,20,12.0
2,DQN,21,16.0
2,DQN,22,15.0
2,DQN,23,11.0
2,DQN,24,15.0
2,DQN,25,12.0
2,DQN,26,16.0
2,DQN,27,15.0
2,DQN,28,15.0
2,DQN,29,11.0
2,DDQN,0,14.0
2,DDQN,1,13.0
2,DDQN,2,15.0
2,DDQN,3,16.0
2,DDQN,4,14.0
2,DDQN,5,15.0
2,DDQN,6,15.0
2,DDQN,7,14.0
2,DDQN,8,14.0
2,DDQN,9,12.0
2,DDQN,10,16.0
2,DDQN,11,16.0
2,DDQN,12,13.0
2,DDQN,13,15.0
2,DDQN,14,12.0
2,DDQN,15,14.0
2,DDQN,16,14.0
2,DDQN,17,12.0
2,DDQN,18,16.0
2,DDQN,19,14.0
2,DDQN,20,15.0
2,DDQN,21,13.0
2,DDQN,22,12.0
2,DDQN,23,14.0
2,DDQN,24,11.0
2,DDQN,25,12.0
2,DDQN,26,15.0
2,DDQN,27,15.0
2,DDQN,28,16.0
2,DDQN,29,13.0
2,NoisyDQN,0,15.0
2,NoisyDQN,1,13.0
2,NoisyDQN,2,14.0
2,NoisyDQN,3,14.0
2,NoisyDQN,4,15.0
2,NoisyDQN,5,13.0
2,NoisyDQN,6,10.0
2,NoisyDQN,7,12.0
2,NoisyDQN,8,16.0
2,NoisyDQN,9,15.0
2,NoisyDQN,10,15.0
2,NoisyDQN,11,16.0
2,NoisyDQN,12,11.0
2,NoisyDQN,13,15.0
2,NoisyDQN,14,15.0
2,NoisyDQN,15,14.0
2,NoisyDQN,16,13.0
2,NoisyDQN,17,14.0
2,NoisyDQN,18,13.0
2,NoisyDQN,19,14.0
2,NoisyDQN,20,11.0
2,NoisyDQN,21,15.0
2,NoisyDQN,22,13.0
2,NoisyDQN,23,15.0
2,NoisyDQN,24,13.0
2,NoisyDQN,25,15.0
2,NoisyDQN,26,17.0
2,NoisyDQN,27,15.0
2,NoisyDQN,28,16.0
2,NoisyDQN,29,11.0
2,DuelingDQN,0,14.0
2,DuelingDQN,1,11.0
2,DuelingDQN,2,13.0
2,DuelingDQN,3,17.0
2,DuelingDQN,4,15.0
2,DuelingDQN,5,17.0
2,DuelingDQN,6,13.0
2,DuelingDQN,7,14.0
2,DuelingDQN,8,16.0
2,DuelingDQN,9,16.0
2,DuelingDQN,10,16.0
2,DuelingDQN,11,13.0
2,DuelingDQN,12,13.0
2,DuelingDQN,13,14.0
2,DuelingDQN,14,14.0
2,DuelingDQN,15,15.0
2,DuelingDQN,16,12.0
2,DuelingDQN,17,14.0
2,DuelingDQN,18,15.0
2,DuelingDQN,19,15.0
2,DuelingDQN,20,14.0
2,DuelingDQN,21,15.0
2,DuelingDQN,22,13.0
2,DuelingDQN,23,12.0
2,DuelingDQN,24,15.0
2,DuelingDQN,25,15.0
2,DuelingDQN,26,16.0
2,DuelingDQN,27,15.0
2,DuelingDQN,28,13.0
2,DuelingDQN,29,13.0
2,DistributionalDQN,0,15.0
2,DistributionalDQN,1,12.0
2,DistributionalDQN,2,14.0
2,DistributionalDQN,3,14.0
2,DistributionalDQN,4,14.0
2,DistributionalDQN,5,13.0
2,DistributionalDQN,6,12.0
2,DistributionalDQN,7,16.0
2,DistributionalDQN,8,15.0
2,DistributionalDQN,9,17.0
2,DistributionalDQN,10,15.0
2,DistributionalDQN,11,14.0
2,DistributionalDQN,12,13.0
2,DistributionalDQN,13,16.0
2,DistributionalDQN,14,14.0
2,DistributionalDQN,15,13.0
2,DistributionalDQN,16,13.0
2,DistributionalDQN,17,14.0
2,DistributionalDQN,18,13.0
2,DistributionalDQN,19,12.0
2,DistributionalDQN,20,11.0
2,DistributionalDQN,21,15.0
2,DistributionalDQN,22,13.0
2,DistributionalDQN,23,16.0
2,DistributionalDQN,24,12.0
2,DistributionalDQN,25,11.0
2,DistributionalDQN,26,14.0
2,DistributionalDQN,27,13.0
2,DistributionalDQN,28,15.0
2,DistributionalDQN,29,10.0
4,DQN,0,10.0
4,DQN,1,10.5
4,DQN,2,10.5
4,DQN,3,10.5
4,DQN,4,12.0
4,DQN,5,11.0
4,DQN,6,10.0
4,DQN,7,11.5
4,DQN,8,10.5
4,DQN,9,10.5
4,DQN,10,10.0
4,DQN,11,11.0
4,DQN,12,12.0
4,DQN,13,11.0
4,DQN,14,11.5
4,DQN,15,10.0
4,DQN,16,11.5
4,DQN,17,9.5
4,DQN,18,11.0
4,DQN,19,10.5
4,DQN,20,10.5
4,DQN,21,10.0
4,DQN,22,11.5
4,DQN,23,11.5
4,DQN,24,11.5
4,DQN,25,11.5
4,DQN,26,10.0
4,DQN,27,10.5
4,DQN,28,10.5
4,DQN,29,12.0
4,DDQN,0,10.5
4,DDQN,1,13.0
4,DDQN,2,10.5
4,DDQN,3,11.0
4,DDQN,4,11.5
4,DDQN,5,12.0
4,DDQN,6,11.5
4,DDQN,7,11.0
4,DDQN,8,10.0
4,DDQN,9,10.5
4,DDQN,10,10.0
4,DDQN,11,10.0
4,DDQN,12,10.5
4,DDQN,13,10.0
4,DDQN,14,10.5
4,DDQN,15,10.0
4,DDQN,16,12.0
4,DDQN,17,13.0
4,DDQN,18,10.0
4,DDQN,19,10.5
4,DDQN,20,10.5
4,DDQN,21,11.5
4,DDQN,22,11.5
4,DDQN,23,10.5
4,DDQN,24,11.0
4,DDQN,25,10.0
4,DDQN,26,10.5
4,DDQN,27,10.5
4,DDQN,28,10.5
4,DDQN,29,11.0
4,NoisyDQN,0,10.0
4,NoisyDQN,1,10.0
4,NoisyDQN,2,10.0
4,NoisyDQN,3,10.0
4,NoisyDQN,4,10.5
4,NoisyDQN,5,11.0
4,NoisyDQN,6,10.5
4,NoisyDQN,7,9.5
4,NoisyDQN,8,10.5
4,NoisyDQN,9,10.5
4,NoisyDQN,10,10.0
4,NoisyDQN,11,10.0
4,NoisyDQN,12,11.0
4,NoisyDQN,13,10.5
4,NoisyDQN,14,12.0
4,NoisyDQN,15,10.5
4,NoisyDQN,16,11.5
4,NoisyDQN,17,11.5
4,NoisyDQN,18,10.0
4,NoisyDQN,19,11.5
4,NoisyDQN,20,9.5
4,NoisyDQN,21,11.0
4,NoisyDQN,22,11.0
4,NoisyDQN,23,10.0
4,NoisyDQN,24,9.5
4,NoisyDQN,25,10.5
4,NoisyDQN,26,10.0
4,NoisyDQN,27,10.0
4,NoisyDQN,28,10.0
4,NoisyDQN,29,10.0
4,DuelingDQN,0,11.5
4,DuelingDQN,1,10.0
4,DuelingDQN,2,10.5
4,DuelingDQN,3,10.0
4,DuelingDQN,4,10.5
4,DuelingDQN,5,11.0
4,DuelingDQN,6,10.5
4,DuelingDQN,7,10.5
4,DuelingDQN,8,10.5
4,DuelingDQN,9,10.5
4,DuelingDQN,10,10.5
4,DuelingDQN,11,10.5
4,DuelingDQN,12,11.5
4,DuelingDQN,13,12.0
4,DuelingDQN,14,11.0
4,DuelingDQN,15,11.5
4,DuelingDQN,16,12.5
4,DuelingDQN,17,10.5
4,DuelingDQN,18,11.0
4,DuelingDQN,19,10.5
4,DuelingDQN,20,10.0
4,DuelingDQN,21,10.5
4,DuelingDQN,22,10.0
4,DuelingDQN,23,10.0
4,DuelingDQN,24,10.0
4,DuelingDQN,25,11.0
4,DuelingDQN,26,10.5
4,DuelingDQN,27,10.0
4,DuelingDQN,28,10.5
4,DuelingDQN,29,11.0
4,DistributionalDQN,0,10.0
4,DistributionalDQN,1,10.0
4,DistributionalDQN,2,10.5
4,DistributionalDQN,3,12.5
4,DistributionalDQN,4,10.5
4,DistributionalDQN,5,10.5
4,DistributionalDQN,6,10.5
4,DistributionalDQN,7,10.0
4,DistributionalDQN,8,11.0
4,DistributionalDQN,9,10.5
4,DistributionalDQN,10,11.5
4,DistributionalDQN,11,11.5
4,DistributionalDQN,12,9.5
4,DistributionalDQN,13,10.5
4,DistributionalDQN,14,11.0
4,DistributionalDQN,15,11.5
4,DistributionalDQN,16,12.0
4,DistributionalDQN,17,10.0
4,DistributionalDQN,18,10.5
4,DistributionalDQN,19,10.0
4,DistributionalDQN,20,10.0
4,DistributionalDQN,21,11.5
4,DistributionalDQN,22,10.5
4,DistributionalDQN,23,10.0
4,DistributionalDQN,24,10.5
4,DistributionalDQN,25,10.5
4,DistributionalDQN,26,10.0
4,DistributionalDQN,27,10.0
4,DistributionalDQN,28,11.5
4,DistributionalDQN,29,11.0
