block_id,model,episode_idx,reward
0,DQN,0,110.0
0,DQN,1,110.0
0,DQN,2,110.0
0,DQN,3,140.0
0,DQN,4,170.0
0,DQN,5,110.0
0,DQN,6,140.0
0,DQN,7,140.0
0,DQN,8,170.0
0,DQN,9,110.0
0,DQN,10,170.0
0,DQN,11,110.0
0,DQN,12,170.0
0,DQN,13,120.0
0,DQN,14,140.0
0,DQN,15,140.0
0,DQN,16,110.0
0,DQN,17,110.0
0,DQN,18,170.0
0,DQN,19,110.0
0,DQN,20,140.0
0,DQN,21,90.0
0,DQN,22,110.0
0,DQN,23,170.0
0,DQN,24,110.0
0,DQN,25,110.0
0,DQN,26,170.0
0,DQN,27,110.0
0,DQN,28,110.0
0,DQN,29,170.0
0,DDQN,0,1330.0
0,DDQN,1,1330.0
0,DDQN,2,1330.0
0,DDQN,3,1330.0
0,DDQN,4,1410.0
0,DDQN,5,1330.0
0,DDQN,6,1430.0
0,DDQN,7,160.0
0,DDQN,8,160.0
0,DDQN,9,1410.0
0,DDQN,10,1330.0
0,DDQN,11,840.0
0,DDQN,12,160.0
0,DDQN,13,1410.0
0,DDQN,14,1410.0
0,DDQN,15,1330.0
0,DDQN,16,1330.0
0,DDQN,17,840.0
0,DDQN,18,160.0
0,DDQN,19,1330.0
0,DDQN,20,160.0
0,DDQN,21,1410.0
0,DDQN,22,1410.0
0,DDQN,23,160.0
0,DDQN,24,1330.0
0,DDQN,25,160.0
0,DDQN,26,170.0
0,DDQN,27,840.0
0,DDQN,28,1330.0
0,DDQN,29,170.0
0,NoisyDQN,0,200.0
0,NoisyDQN,1,200.0
0,NoisyDQN,2,200.0
0,NoisyDQN,3,200.0
0,NoisyDQN,4,200.0
0,NoisyDQN,5,200.0
0,NoisyDQN,6,170.0
0,NoisyDQN,7,210.0
0,NoisyDQN,8,200.0
0,NoisyDQN,9,200.0
0,NoisyDQN,10,200.0
0,NoisyDQN,11,200.0
0,NoisyDQN,12,200.0
0,NoisyDQN,13,200.0
0,NoisyDQN,14,200.0
0,NoisyDQN,15,200.0
0,NoisyDQN,16,200.0
0,NoisyDQN,17,200.0
0,NoisyDQN,18,210.0
0,NoisyDQN,19,210.0
0,NoisyDQN,20,200.0
0,NoisyDQN,21,200.0
0,NoisyDQN,22,200.0
0,NoisyDQN,23,200.0
0,NoisyDQN,24,200.0
0,NoisyDQN,25,200.0
0,NoisyDQN,26,200.0
0,NoisyDQN,27,200.0
0,NoisyDQN,28,200.0
0,NoisyDQN,29,210.0
0,DuelingDQN,0,210.0
0,DuelingDQN,1,210.0
0,DuelingDQN,2,210.0
0,DuelingDQN,3,210.0
0,DuelingDQN,4,200.0
0,DuelingDQN,5,210.0
0,DuelingDQN,6,200.0
0,DuelingDQN,7,210.0
0,DuelingDQN,8,210.0
0,DuelingDQN,9,210.0
0,DuelingDQN,10,210.0
0,DuelingDQN,11,210.0
0,DuelingDQN,12,210.0
0,DuelingDQN,13,200.0
0,DuelingDQN,14,200.0
0,DuelingDQN,15,210.0
0,DuelingDQN,16,210.0
0,DuelingDQN,17,210.0
0,DuelingDQN,18,210.0
0,DuelingDQN,19,210.0
0,DuelingDQN,20,200.0
0,DuelingDQN,21,210.0
0,DuelingDQN,22,210.0
0,DuelingDQN,23,210.0
0,DuelingDQN,24,210.0
0,DuelingDQN,25,200.0
0,DuelingDQN,26,210.0
0,DuelingDQN,27,210.0
0,DuelingDQN,28,210.0
0,DuelingDQN,29,200.0
0,DistributionalDQN,0,180.0
0,DistributionalDQN,1,150.0
0,DistributionalDQN,2,180.0
0,DistributionalDQN,3,130.0
0,DistributionalDQN,4,150.0
