block_id,model,episode_idx,reward
0,DQN,0,300
0,DQN,1,20
0,DQN,2,60
0,DQN,3,20
0,DQN,4,20
0,DQN,5,200
0,DQN,6,60
0,DQN,7,160
0,DQN,8,40
0,DQN,9,200
0,DQN,10,100
0,DQN,11,260
0,DQN,12,140
0,DQN,13,100
0,DQN,14,20
0,DQN,15,40
0,DQN,16,20
0,DQN,17,60
0,DQN,18,60
0,DQN,19,40
0,DQN,20,20
0,DQN,21,100
0,DQN,22,140
0,DQN,23,80
0,DQN,24,140
0,DQN,25,200
0,DQN,26,680
0,DQN,27,260
0,DQN,28,180
0,DQN,29,20
0,DDQN,0,240
0,DDQN,1,160
0,DDQN,2,260
0,DDQN,3,160
0,DDQN,4,160
0,DDQN,5,160
0,DDQN,6,140
0,DDQN,7,160
0,DDQN,8,260
0,DDQN,9,160
0,DDQN,10,0
0,DDQN,11,140
0,DDQN,12,260
0,DDQN,13,160
0,DDQN,14,160
0,DDQN,15,160
0,DDQN,16,140
0,DDQN,17,260
0,DDQN,18,260
0,DDQN,19,40
0,DDQN,20,140
0,DDQN,21,260
0,DDQN,22,40
0,DDQN,23,220
0,DDQN,24,220
0,DDQN,25,140
0,DDQN,26,160
0,DDQN,27,160
0,DDQN,28,160
0,DDQN,29,160
0,NoisyDQN,0,100
0,NoisyDQN,1,300
0,NoisyDQN,2,200
0,NoisyDQN,3,100
0,NoisyDQN,4,300
0,NoisyDQN,5,100
0,NoisyDQN,6,400
0,NoisyDQN,7,200
0,NoisyDQN,8,100
0,NoisyDQN,9,200
0,NoisyDQN,10,100
0,NoisyDQN,11,100
0,NoisyDQN,12,100
0,NoisyDQN,13,0
0,NoisyDQN,14,100
0,NoisyDQN,15,100
0,NoisyDQN,16,100
0,NoisyDQN,17,100
0,NoisyDQN,18,200
0,NoisyDQN,19,300
0,NoisyDQN,20,500
0,NoisyDQN,21,100
0,NoisyDQN,22,100
0,NoisyDQN,23,400
0,NoisyDQN,24,400
0,NoisyDQN,25,100
0,NoisyDQN,26,100
0,NoisyDQN,27,300
0,NoisyDQN,28,500
0,NoisyDQN,29,100
0,DuelingDQN,0,100
0,DuelingDQN,1,320
0,DuelingDQN,2,20
0,DuelingDQN,3,20
0,DuelingDQN,4,20
0,DuelingDQN,5,240
0,DuelingDQN,6,340
0,DuelingDQN,7,600
0,DuelingDQN,8,260
0,DuelingDQN,9,180
0,DuelingDQN,10,40
0,DuelingDQN,11,300
0,DuelingDQN,12,360
0,DuelingDQN,13,180
0,DuelingDQN,14,260
0,DuelingDQN,15,20
0,DuelingDQN,16,600
0,DuelingDQN,17,180
0,DuelingDQN,18,340
0,DuelingDQN,19,120
0,DuelingDQN,20,360
0,DuelingDQN,21,240
0,DuelingDQN,22,260
0,DuelingDQN,23,620
0,DuelingDQN,24,40
0,DuelingDQN,25,60
0,DuelingDQN,26,260
0,DuelingDQN,27,100
0,DuelingDQN,28,20
0,DuelingDQN,29,80
0,DistributionalDQN,0,500
0,DistributionalDQN,1,520
0,DistributionalDQN,2,360
0,DistributionalDQN,3,0
0,DistributionalDQN,4,0
0,DistributionalDQN,5,0
0,DistributionalDQN,6,480
0,DistributionalDQN,7,140
0,DistributionalDQN,8,520
0,DistributionalDQN,9,100
0,DistributionalDQN,10,360
0,DistributionalDQN,11,180
0,DistributionalDQN,12,180
0,DistributionalDQN,13,140
0,DistributionalDQN,14,20
0,DistributionalDQN,15,0
0,DistributionalDQN,16,0
0,DistributionalDQN,17,100
0,DistributionalDQN,18,180
0,DistributionalDQN,19,100
0,DistributionalDQN,20,60
0,DistributionalDQN,21,0
0,DistributionalDQN,22,380
0,DistributionalDQN,23,0
0,DistributionalDQN,24,60
0,DistributionalDQN,25,140
0,DistributionalDQN,26,0
0,DistributionalDQN,27,280
0,DistributionalDQN,28,280
0,DistributionalDQN,29,360
1,DQN,0,410
1,DQN,1,710
1,DQN,2,80
1,DQN,3,50
1,DQN,4,10
