block_id,model,episode_idx,reward
0,DQN,0,50
0,DQN,1,0
0,DQN,2,0
0,DQN,3,0
0,DQN,4,0
0,DQN,5,0
0,DQN,6,0
0,DQN,7,50
0,DQN,8,0
0,DQN,9,50
0,DQN,10,0
0,DQN,11,50
0,DQN,12,0
0,DQN,13,0
0,DQN,14,50
0,DQN,15,50
0,DQN,16,0
0,DQN,17,0
0,DQN,18,50
0,DQN,19,50
0,DQN,20,0
0,DQN,21,0
0,DQN,22,0
0,DQN,23,0
0,DQN,24,0
0,DQN,25,0
0,DQN,26,0
0,DQN,27,50
0,DQN,28,0
0,DQN,29,0
0,DDQN,0,100
0,DDQN,1,150
0,DDQN,2,0
0,DDQN,3,250
0,DDQN,4,150
0,DDQN,5,0
0,DDQN,6,100
0,DDQN,7,100
0,DDQN,8,50
0,DDQN,9,100
0,DDQN,10,100
0,DDQN,11,50
0,DDQN,12,250
0,DDQN,13,50
0,DDQN,14,0
0,DDQN,15,150
0,DDQN,16,50
0,DDQN,17,50
0,DDQN,18,100
0,DDQN,19,0
0,DDQN,20,50
0,DDQN,21,50
0,DDQN,22,200
0,DDQN,23,0
0,DDQN,24,150
0,DDQN,25,100
0,DDQN,26,50
0,DDQN,27,0
0,DDQN,28,250
0,DDQN,29,50
0,NoisyDQN,0,50
0,NoisyDQN,1,0
0,NoisyDQN,2,200
0,NoisyDQN,3,300
0,NoisyDQN,4,100
0,NoisyDQN,5,50
0,NoisyDQN,6,100
0,NoisyDQN,7,200
0,NoisyDQN,8,150
0,NoisyDQN,9,150
0,NoisyDQN,10,300
0,NoisyDQN,11,150
0,NoisyDQN,12,200
0,NoisyDQN,13,100
0,NoisyDQN,14,100
0,NoisyDQN,15,200
0,NoisyDQN,16,150
0,NoisyDQN,17,150
0,NoisyDQN,18,0
0,NoisyDQN,19,250
0,NoisyDQN,20,100
0,NoisyDQN,21,50
0,NoisyDQN,22,0
0,NoisyDQN,23,100
0,NoisyDQN,24,150
0,NoisyDQN,25,100
0,NoisyDQN,26,0
0,NoisyDQN,27,100
0,NoisyDQN,28,300
0,NoisyDQN,29,150
0,DuelingDQN,0,50
0,DuelingDQN,1,100
0,DuelingDQN,2,50
0,DuelingDQN,3,50
0,DuelingDQN,4,100
0,DuelingDQN,5,50
0,DuelingDQN,6,0
0,DuelingDQN,7,50
0,DuelingDQN,8,0
0,DuelingDQN,9,50
0,DuelingDQN,10,50
0,DuelingDQN,11,100
0,DuelingDQN,12,50
0,DuelingDQN,13,50
0,DuelingDQN,14,100
0,DuelingDQN,15,100
0,DuelingDQN,16,100
0,DuelingDQN,17,50
0,DuelingDQN,18,150
0,DuelingDQN,19,50
0,DuelingDQN,20,50
0,DuelingDQN,21,100
0,DuelingDQN,22,0
0,DuelingDQN,23,100
0,DuelingDQN,24,50
0,DuelingDQN,25,0
0,DuelingDQN,26,0
0,DuelingDQN,27,50
0,DuelingDQN,28,150
0,DuelingDQN,29,100
0,DistributionalDQN,0,50
0,DistributionalDQN,1,50
0,DistributionalDQN,2,0
0,DistributionalDQN,3,50
0,DistributionalDQN,4,50
0,DistributionalDQN,5,0
0,DistributionalDQN,6,50
0,DistributionalDQN,7,50
0,DistributionalDQN,8,50
0,DistributionalDQN,9,0
0,DistributionalDQN,10,50
0,DistributionalDQN,11,50
0,DistributionalDQN,12,50
0,DistributionalDQN,13,50
0,DistributionalDQN,14,0
0,DistributionalDQN,15,50
0,DistributionalDQN,16,50
0,DistributionalDQN,17,0
0,DistributionalDQN,18,50
0,DistributionalDQN,19,0
0,DistributionalDQN,20,0
0,DistributionalDQN,21,50
0,DistributionalDQN,22,50
0,DistributionalDQN,23,50
0,DistributionalDQN,24,0
0,DistributionalDQN,25,50
0,DistributionalDQN,26,50
