block_id,model,episode_idx,reward
0,DQN,0,1360
0,DQN,1,2540
0,DQN,2,1630
0,DQN,3,2310
0,DQN,4,1840
0,DQN,5,2040
0,DQN,6,1950
0,DQN,7,2090
0,DQN,8,1450
0,DQN,9,1840
0,DQN,10,1790
0,DQN,11,3310
0,DQN,12,2030
0,DQN,13,2220
0,DQN,14,2560
0,DQN,15,2180
0,DQN,16,1650
0,DQN,17,2360
0,DQN,18,1990
0,DQN,19,2300
0,DQN,20,2700
0,DQN,21,2100
0,DQN,22,650
0,DQN,23,2210
0,DQN,24,1100
0,DQN,25,1370
0,DQN,26,2010
0,DQN,27,1450
0,DQN,28,2750
0,DQN,29,2710
0,DDQN,0,1290
0,DDQN,1,3650
0,DDQN,2,1220
0,DDQN,3,3110
0,DDQN,4,1010
0,DDQN,5,3640
0,DDQN,6,2440
0,DDQN,7,4750
0,DDQN,8,3120
0,DDQN,9,2720
0,DDQN,10,2570
0,DDQN,11,4110
0,DDQN,12,3080
0,DDQN,13,1940
0,DDQN,14,2730
0,DDQN,15,2220
0,DDQN,16,3100
0,DDQN,17,7140
0,DDQN,18,2030
0,DDQN,19,3260
0,DDQN,20,4230
0,DDQN,21,3260
0,DDQN,22,3100
0,DDQN,23,1830
0,DDQN,24,2830
0,DDQN,25,1520
0,DDQN,26,2340
0,DDQN,27,1940
0,DDQN,28,1940
0,DDQN,29,3770
0,NoisyDQN,0,2530
0,NoisyDQN,1,1260
0,NoisyDQN,2,1500
0,NoisyDQN,3,4830
0,NoisyDQN,4,2510
0,NoisyDQN,5,4020
0,NoisyDQN,6,2460
0,NoisyDQN,7,1250
0,NoisyDQN,8,1860
0,NoisyDQN,9,2510
0,NoisyDQN,10,9170
0,NoisyDQN,11,1260
0,NoisyDQN,12,10840
0,NoisyDQN,13,4740
0,NoisyDQN,14,9230
0,NoisyDQN,15,2820
0,NoisyDQN,16,10490
0,NoisyDQN,17,2920
0,NoisyDQN,18,1260
0,NoisyDQN,19,2820
0,NoisyDQN,20,3660
0,NoisyDQN,21,12130
0,NoisyDQN,22,1030
0,NoisyDQN,23,2510
0,NoisyDQN,24,18100
0,NoisyDQN,25,4480
0,NoisyDQN,26,1170
0,NoisyDQN,27,1050
0,NoisyDQN,28,18510
0,NoisyDQN,29,4480
0,DuelingDQN,0,1920
0,DuelingDQN,1,1870
0,DuelingDQN,2,1300
0,DuelingDQN,3,2560
0,DuelingDQN,4,2160
0,DuelingDQN,5,1690
0,DuelingDQN,6,1390
0,DuelingDQN,7,1820
0,DuelingDQN,8,1470
0,DuelingDQN,9,1960
0,DuelingDQN,10,920
0,DuelingDQN,11,880
0,DuelingDQN,12,1800
0,DuelingDQN,13,2100
0,DuelingDQN,14,1800
0,DuelingDQN,15,1080
0,DuelingDQN,16,1940
0,DuelingDQN,17,1980
0,DuelingDQN,18,1600
0,DuelingDQN,19,1590
0,DuelingDQN,20,1900
0,DuelingDQN,21,2880
0,DuelingDQN,22,1870
0,DuelingDQN,23,920
0,DuelingDQN,24,1280
0,DuelingDQN,25,920
0,DuelingDQN,26,2430
0,DuelingDQN,27,1400
0,DuelingDQN,28,2380
0,DuelingDQN,29,1580
0,DistributionalDQN,0,640
0,DistributionalDQN,1,1370
0,DistributionalDQN,2,440
0,DistributionalDQN,3,940
0,DistributionalDQN,4,450
0,DistributionalDQN,5,1350
0,DistributionalDQN,6,970
0,DistributionalDQN,7,1020
0,DistributionalDQN,8,2060
0,DistributionalDQN,9,750
0,DistributionalDQN,10,2260
0,DistributionalDQN,11,670
0,DistributionalDQN,12,900
