block_id,model,episode_idx,reward
0,DQN,0,0
0,DQN,1,0
0,DQN,2,0
0,DQN,3,0
0,DQN,4,0
0,DQN,5,0
0,DQN,6,0
0,DQN,7,0
0,DQN,8,0
0,DQN,9,0
0,DQN,10,0
0,DQN,11,0
0,DQN,12,0
0,DQN,13,0
0,DQN,14,0
0,DQN,15,0
0,DQN,16,0
0,DQN,17,0
0,DQN,18,0
0,DQN,19,0
0,DQN,20,0
0,DQN,21,0
0,DQN,22,0
0,DQN,23,0
0,DQN,24,0
0,DQN,25,0
0,DQN,26,0
0,DQN,27,0
0,DQN,28,0
0,DQN,29,0
0,DDQN,0,0
0,DDQN,1,0
0,DDQN,2,0
0,DDQN,3,0
0,DDQN,4,0
0,DDQN,5,0
0,DDQN,6,0
0,DDQN,7,0
0,DDQN,8,0
0,DDQN,9,0
0,DDQN,10,0
0,DDQN,11,0
0,DDQN,12,0
0,DDQN,13,0
0,DDQN,14,0
0,DDQN,15,0
0,DDQN,16,0
0,DDQN,17,0
0,DDQN,18,0
0,DDQN,19,0
0,DDQN,20,0
0,DDQN,21,0
0,DDQN,22,0
0,DDQN,23,0
0,DDQN,24,0
0,DDQN,25,0
0,DDQN,26,0
0,DDQN,27,0
0,DDQN,28,0
0,DDQN,29,0
0,NoisyDQN,0,0
0,NoisyDQN,1,0
0,NoisyDQN,2,0
0,NoisyDQN,3,0
0,NoisyDQN,4,0
0,NoisyDQN,5,0
0,NoisyDQN,6,0
0,NoisyDQN,7,0
0,NoisyDQN,8,0
0,NoisyDQN,9,0
0,NoisyDQN,10,0
0,NoisyDQN,11,0
0,NoisyDQN,12,0
0,NoisyDQN,13,0
0,NoisyDQN,14,0
0,NoisyDQN,15,0
0,NoisyDQN,16,0
0,NoisyDQN,17,0
0,NoisyDQN,18,0
0,NoisyDQN,19,0
0,NoisyDQN,20,0
0,NoisyDQN,21,0
0,NoisyDQN,22,0
0,NoisyDQN,23,0
0,NoisyDQN,24,0
0,NoisyDQN,25,0
0,NoisyDQN,26,0
0,NoisyDQN,27,0
0,NoisyDQN,28,0
0,NoisyDQN,29,0
0,DuelingDQN,0,0
0,DuelingDQN,1,0
0,DuelingDQN,2,0
0,DuelingDQN,3,0
0,DuelingDQN,4,0
0,DuelingDQN,5,0
0,DuelingDQN,6,0
0,DuelingDQN,7,0
0,DuelingDQN,8,0
0,DuelingDQN,9,0
0,DuelingDQN,10,0
0,DuelingDQN,11,0
0,DuelingDQN,12,0
0,DuelingDQN,13,0
0,DuelingDQN,14,0
0,DuelingDQN,15,0
0,DuelingDQN,16,0
0,DuelingDQN,17,0
0,DuelingDQN,18,0
0,DuelingDQN,19,0
0,DuelingDQN,20,0
0,DuelingDQN,21,0
0,DuelingDQN,22,0
0,DuelingDQN,23,0
0,DuelingDQN,24,0
0,DuelingDQN,25,0
0,DuelingDQN,26,0
0,DuelingDQN,27,0
0,DuelingDQN,28,0
0,DuelingDQN,29,0
0,DistributionalDQN,0,0
0,DistributionalDQN,1,0
0,DistributionalDQN,2,0
0,DistributionalDQN,3,0
0,DistributionalDQN,4,0
0,DistributionalDQN,5,0
0,DistributionalDQN,6,0
0,DistributionalDQN,7,0
0,DistributionalDQN,8,0
0,DistributionalDQN,9,0
0,DistributionalDQN,10,0
0,DistributionalDQN,11,0
0,DistributionalDQN,12,0
0,DistributionalDQN,13,0
0,DistributionalDQN,14,0
0,DistributionalDQN,15,0
0,DistributionalDQN,16,0
0,DistributionalDQN,17,0
0,DistributionalDQN,18,0
0,DistributionalDQN,19,0
0,DistributionalDQN,20,0
0,DistributionalDQN,21,0
0,DistributionalDQN,22,0
0,DistributionalDQN,23,0
0,DistributionalDQN,24,0
0,DistributionalDQN,25,0
0,DistributionalDQN,26,0
0,DistributionalDQN,27,0
0,DistributionalDQN,28,0
0,DistributionalDQN,29,0
1,DQN,0,1500
1,DQN,1,1200
1,DQN,2,1000
1,DQN,3,600
1,DQN,4,1900
1,DQN,5,300
1,DQN,6,3600
1,DQN,7,900
1,DQN,8,1300
1,DQN,9,300
1,DQN,10,1200
1,DQN,11,2600
1,DQN,12,1500
1,DQN,13,1200
1,DQN,14,1200
1,DQN,15,1900
1,DQN,16,400
1,DQN,17,900
1,DQN,18,600
1,DQN,19,700
1,DQN,20,400
1,DQN,21,1500
1,DQN,22,1300
1,DQN,23,1100
1,DQN,24,600
1,DQN,25,1000
1,DQN,26,2100
1,DQN,27,1600
1,DQN,28,2100
1,DQN,29,2100
1,DDQN,0,700
1,DDQN,1,1900
1,DDQN,2,1900
1,DDQN,3,2400
1,DDQN,4,600
1,DDQN,5,1800
1,DDQN,6,800
1,DDQN,7,1000
1,DDQN,8,1300
1,DDQN,9,2400
1,DDQN,10,1800
1,DDQN,11,0
1,DDQN,12,2700
1,DDQN,13,900
1,DDQN,14,300
1,DDQN,15,400
1,DDQN,16,1900
1,DDQN,17,600
1,DDQN,18,300
1,DDQN,19,500
1,DDQN,20,400
1,DDQN,21,1900
1,DDQN,22,900
1,DDQN,23,600
1,DDQN,24,700
1,DDQN,25,600
1,DDQN,26,600
1,DDQN,27,1300
1,DDQN,28,1800
1,DDQN,29,1500
1,NoisyDQN,0,400
1,NoisyDQN,1,600
1,NoisyDQN,2,1400
1,NoisyDQN,3,2500
1,NoisyDQN,4,1500
1,NoisyDQN,5,300
1,NoisyDQN,6,400
1,NoisyDQN,7,500
1,NoisyDQN,8,1500
1,NoisyDQN,9,400
1,NoisyDQN,10,0
1,NoisyDQN,11,1400
1,NoisyDQN,12,1600
1,NoisyDQN,13,600
1,NoisyDQN,14,400
1,NoisyDQN,15,1600
1,NoisyDQN,16,600
1,NoisyDQN,17,2300
1,NoisyDQN,18,700
1,NoisyDQN,19,600
1,NoisyDQN,20,0
1,NoisyDQN,21,400
1,NoisyDQN,22,0
1,NoisyDQN,23,1300
1,NoisyDQN,24,600
1,NoisyDQN,25,700
1,NoisyDQN,26,2100
1,NoisyDQN,27,400
1,NoisyDQN,28,400
1,NoisyDQN,29,800
1,DuelingDQN,0,1600
1,DuelingDQN,1,1200
1,DuelingDQN,2,3300
1,DuelingDQN,3,300
1,DuelingDQN,4,300
1,DuelingDQN,5,1900
1,DuelingDQN,6,2400
1,DuelingDQN,7,600
1,DuelingDQN,8,1500
1,DuelingDQN,9,100
1,DuelingDQN,10,2100
