block_id,model,episode_idx,reward
0,DQN,0,1180
0,DQN,1,1040
0,DQN,2,960
0,DQN,3,1040
0,DQN,4,1180
0,DQN,5,1090
0,DQN,6,590
0,DQN,7,960
0,DQN,8,1040
0,DQN,9,590
0,DQN,10,1090
0,DQN,11,1090
0,DQN,12,590
0,DQN,13,590
0,DQN,14,590
0,DQN,15,1090
0,DQN,16,590
0,DQN,17,590
0,DQN,18,590
0,DQN,19,1040
0,DQN,20,1180
0,DQN,21,1090
0,DQN,22,590
0,DQN,23,590
0,DQN,24,540
0,DQN,25,1090
0,DQN,26,1180
0,DQN,27,1040
0,DQN,28,1090
0,DQN,29,1180
0,DDQN,0,540
0,DDQN,1,240
0,DDQN,2,540
0,DDQN,3,600
0,DDQN,4,600
0,DDQN,5,240
0,DDQN,6,600
0,DDQN,7,1220
0,DDQN,8,370
0,DDQN,9,240
0,DDQN,10,600
0,DDQN,11,540
0,DDQN,12,1440
0,DDQN,13,540
0,DDQN,14,540
0,DDQN,15,240
0,DDQN,16,240
0,DDQN,17,240
0,DDQN,18,1220
0,DDQN,19,1220
0,DDQN,20,340
0,DDQN,21,540
0,DDQN,22,1220
0,DDQN,23,540
0,DDQN,24,240
0,DDQN,25,600
0,DDQN,26,540
0,DDQN,27,600
0,DDQN,28,790
0,DDQN,29,540
0,NoisyDQN,0,710
0,NoisyDQN,1,710
0,NoisyDQN,2,3550
0,NoisyDQN,3,710
0,NoisyDQN,4,710
0,NoisyDQN,5,710
0,NoisyDQN,6,710
0,NoisyDQN,7,900
0,NoisyDQN,8,710
0,NoisyDQN,9,490
0,NoisyDQN,10,710
0,NoisyDQN,11,490
0,NoisyDQN,12,3550
0,NoisyDQN,13,710
0,NoisyDQN,14,900
0,NoisyDQN,15,490
0,NoisyDQN,16,540
0,NoisyDQN,17,710
0,NoisyDQN,18,780
0,NoisyDQN,19,640
0,NoisyDQN,20,710
0,NoisyDQN,21,900
0,NoisyDQN,22,900
0,NoisyDQN,23,3550
0,NoisyDQN,24,490
0,NoisyDQN,25,900
0,NoisyDQN,26,900
0,NoisyDQN,27,490
0,NoisyDQN,28,710
0,NoisyDQN,29,900
0,DuelingDQN,0,1760
0,DuelingDQN,1,1760
0,DuelingDQN,2,2210
0,DuelingDQN,3,1020
0,DuelingDQN,4,750
0,DuelingDQN,5,1760
0,DuelingDQN,6,1760
0,DuelingDQN,7,2210
0,DuelingDQN,8,1020
0,DuelingDQN,9,1020
0,DuelingDQN,10,750
0,DuelingDQN,11,2210
0,DuelingDQN,12,960
0,DuelingDQN,13,1760
0,DuelingDQN,14,1760
0,DuelingDQN,15,1020
0,DuelingDQN,16,1760
0,DuelingDQN,17,750
0,DuelingDQN,18,1050
0,DuelingDQN,19,750
0,DuelingDQN,20,1020
0,DuelingDQN,21,1760
0,DuelingDQN,22,1760
0,DuelingDQN,23,750
0,DuelingDQN,24,2210
0,DuelingDQN,25,750
0,DuelingDQN,26,2210
0,DuelingDQN,27,1020
0,DuelingDQN,28,1760
0,DuelingDQN,29,1020
0,DistributionalDQN,0,1360
0,DistributionalDQN,1,650
0,DistributionalDQN,2,1360
0,DistributionalDQN,3,650
0,DistributionalDQN,4,650
0,DistributionalDQN,5,1550
0,DistributionalDQN,6,650
0,DistributionalDQN,7,1290
0,DistributionalDQN,8,1360
0,DistributionalDQN,9,1550
0,DistributionalDQN,10,1360
0,DistributionalDQN,11,650
0,DistributionalDQN,12,1550
0,DistributionalDQN,13,960
0,DistributionalDQN,14,1360
0,DistributionalDQN,15,1360
0,DistributionalDQN,16,1550
0,DistributionalDQN,17,1360
0,DistributionalDQN,18,650
0,DistributionalDQN,19,300
0,DistributionalDQN,20,1290
0,DistributionalDQN,21,1550
0,DistributionalDQN,22,650
0,DistributionalDQN,23,1550
0,DistributionalDQN,24,1290
0,DistributionalDQN,25,1290
0,DistributionalDQN,26,650
0,DistributionalDQN,27,1360
0,DistributionalDQN,28,650
0,DistributionalDQN,29,1550
