block_id,model,episode_idx,reward
0,DQN,0,-20.0
0,DQN,1,-21.0
0,DQN,2,-20.0
0,DQN,3,-20.0
0,DQN,4,-21.0
0,DQN,5,-20.0
0,DQN,6,-21.0
0,DQN,7,-21.0
0,DQN,8,-21.0
0,DQN,9,-21.0
0,DQN,10,-21.0
0,DQN,11,-20.0
0,DQN,12,-21.0
0,DQN,13,-21.0
0,DQN,14,-20.0
0,DQN,15,-21.0
0,DQN,16,-21.0
0,DQN,17,-20.0
0,DQN,18,-21.0
0,DQN,19,-21.0
0,DQN,20,-21.0
0,DQN,21,-20.0
0,DQN,22,-21.0
0,DQN,23,-20.0
0,DQN,24,-20.0
0,DQN,25,-20.0
0,DQN,26,-20.0
0,DQN,27,-20.0
0,DQN,28,-20.0
0,DQN,29,-21.0
0,DDQN,0,-10.0
0,DDQN,1,-21.0
0,DDQN,2,-21.0
0,DDQN,3,-21.0
0,DDQN,4,-21.0
0,DDQN,5,-21.0
0,DDQN,6,-14.0
0,DDQN,7,-21.0
0,DDQN,8,-21.0
0,DDQN,9,-10.0
0,DDQN,10,-21.0
0,DDQN,11,-21.0
0,DDQN,12,-21.0
0,DDQN,13,-21.0
0,DDQN,14,-21.0
0,DDQN,15,-21.0
0,DDQN,16,-21.0
0,DDQN,17,-21.0
0,DDQN,18,-21.0
0,DDQN,19,-21.0
0,DDQN,20,-18.0
0,DDQN,21,-21.0
0,DDQN,22,-21.0
0,DDQN,23,-21.0
0,DDQN,24,-21.0
0,DDQN,25,-21.0
0,DDQN,26,-21.0
0,DDQN,27,-21.0
0,DDQN,28,-21.0
0,DDQN,29,-10.0
0,NoisyDQN,0,-21.0
0,NoisyDQN,1,-20.0
0,NoisyDQN,2,-20.0
0,NoisyDQN,3,-20.0
0,NoisyDQN,4,-21.0
0,NoisyDQN,5,-21.0
0,NoisyDQN,6,-21.0
0,NoisyDQN,7,-19.0
0,NoisyDQN,8,-21.0
0,NoisyDQN,9,-20.0
0,NoisyDQN,10,-21.0
0,NoisyDQN,11,-21.0
0,NoisyDQN,12,-21.0
0,NoisyDQN,13,-21.0
0,NoisyDQN,14,-21.0
0,NoisyDQN,15,-20.0
0,NoisyDQN,16,-19.0
0,NoisyDQN,17,-21.0
0,NoisyDQN,18,-21.0
0,NoisyDQN,19,-21.0
0,NoisyDQN,20,-21.0
0,NoisyDQN,21,-21.0
0,NoisyDQN,22,-19.0
0,NoisyDQN,23,-21.0
0,NoisyDQN,24,-21.0
0,NoisyDQN,25,-21.0
0,NoisyDQN,26,-21.0
0,NoisyDQN,27,-21.0
0,NoisyDQN,28,-21.0
0,NoisyDQN,29,-20.0
0,DuelingDQN,0,-21.0
0,DuelingDQN,1,-21.0
0,DuelingDQN,2,-21.0
0,DuelingDQN,3,-21.0
0,DuelingDQN,4,-21.0
0,DuelingDQN,5,-21.0
0,DuelingDQN,6,-21.0
0,DuelingDQN,7,-21.0
0,DuelingDQN,8,-21.0
0,DuelingDQN,9,-21.0
0,DuelingDQN,10,-21.0
0,DuelingDQN,11,-21.0
0,DuelingDQN,12,-21.0
0,DuelingDQN,13,-21.0
0,DuelingDQN,14,-21.0
0,DuelingDQN,15,-21.0
0,DuelingDQN,16,-21.0
0,DuelingDQN,17,-21.0
0,DuelingDQN,18,-21.0
0,DuelingDQN,19,-21.0
0,DuelingDQN,20,-21.0
0,DuelingDQN,21,-21.0
0,DuelingDQN,22,-21.0
0,DuelingDQN,23,-21.0
0,DuelingDQN,24,-21.0
0,DuelingDQN,25,-21.0
0,DuelingDQN,26,-21.0
0,DuelingDQN,27,-21.0
0,DuelingDQN,28,-21.0
0,DuelingDQN,29,-21.0
0,DistributionalDQN,0,-21.0
0,DistributionalDQN,1,-21.0
0,DistributionalDQN,2,-21.0
0,DistributionalDQN,3,-21.0
0,DistributionalDQN,4,-21.0
0,DistributionalDQN,5,-21.0
0,DistributionalDQN,6,-21.0
0,DistributionalDQN,7,-21.0
0,DistributionalDQN,8,-21.0
0,DistributionalDQN,9,-21.0
0,DistributionalDQN,10,-21.0
0,DistributionalDQN,11,-21.0
0,DistributionalDQN,12,-21.0
0,DistributionalDQN,13,-21.0
0,DistributionalDQN,14,-21.0
0,DistributionalDQN,15,-21.0
0,DistributionalDQN,16,-21.0
0,DistributionalDQN,17,-21.0
0,DistributionalDQN,18,-21.0
0,DistributionalDQN,19,-21.0
0,DistributionalDQN,20,-21.0
0,DistributionalDQN,21,-21.0
0,DistributionalDQN,22,-21.0
0,DistributionalDQN,23,-21.0
0,DistributionalDQN,24,-21.0
0,DistributionalDQN,25,-21.0
0,DistributionalDQN,26,-21.0
0,DistributionalDQN,27,-21.0
0,DistributionalDQN,28,-21.0
0,DistributionalDQN,29,-21.0
1,DQN,0,-18.5
1,DQN,1,-21.0
1,DQN,2,-18.0
1,DQN,3,-21.0
1,DQN,4,-19.5
1,DQN,5,-21.0
1,DQN,6,-20.5
1,DQN,7,-20.0
1,DQN,8,-19.5
1,DQN,9,-21.0
1,DQN,10,-21.0
1,DQN,11,-21.0
1,DQN,12,-21.0
1,DQN,13,-21.0
1,DQN,14,-21.0
1,DQN,15,-19.0
1,DQN,16,-20.5
1,DQN,17,-21.0
1,DQN,18,-20.0
1,DQN,19,-20.5
1,DQN,20,-20.0
1,DQN,21,-21.0
1,DQN,22,-20.5
1,DQN,23,-20.0
1,DQN,24,-21.0
1,DQN,25,-20.0
1,DQN,26,-20.0
1,DQN,27,-20.5
1,DQN,28,-20.5
1,DQN,29,-19.5
1,DDQN,0,-21.0
1,DDQN,1,-21.0
1,DDQN,2,-21.0
1,DDQN,3,-21.0
1,DDQN,4,-21.0
1,DDQN,5,-21.0
1,DDQN,6,-21.0
1,DDQN,7,-20.5
1,DDQN,8,-21.0
1,DDQN,9,-21.0
1,DDQN,10,-21.0
1,DDQN,11,-21.0
1,DDQN,12,-19.5
1,DDQN,13,-21.0
1,DDQN,14,-20.5
1,DDQN,15,-21.0
1,DDQN,16,-21.0
1,DDQN,17,-20.5
1,DDQN,18,-21.0
1,DDQN,19,-21.0
1,DDQN,20,-20.5
1,DDQN,21,-20.5
1,DDQN,22,-20.5
1,DDQN,23,-20.5
1,DDQN,24,-21.0
1,DDQN,25,-19.5
1,DDQN,26,-21.0
1,DDQN,27,-21.0
1,DDQN,28,-20.5
1,DDQN,29,-21.0
1,NoisyDQN,0,-21.0
1,NoisyDQN,1,-20.5
1,NoisyDQN,2,-20.5
1,NoisyDQN,3,-21.0
1,NoisyDQN,4,-21.0
1,NoisyDQN,5,-20.0
1,NoisyDQN,6,-20.0
1,NoisyDQN,7,-21.0
1,NoisyDQN,8,-20.0
1,NoisyDQN,9,-21.0
1,NoisyDQN,10,-21.0
1,NoisyDQN,11,-21.0
1,NoisyDQN,12,-21.0
1,NoisyDQN,13,-21.0
1,NoisyDQN,14,-20.5
1,NoisyDQN,15,-21.0
1,NoisyDQN,16,-20.5
1,NoisyDQN,17,-21.0
1,NoisyDQN,18,-20.5
1,NoisyDQN,19,-18.5
1,NoisyDQN,20,-21.0
1,NoisyDQN,21,-20.0
1,NoisyDQN,22,-19.5
1,NoisyDQN,23,-20.5
1,NoisyDQN,24,-20.5
1,NoisyDQN,25,-20.0
1,NoisyDQN,26,-21.0
1,NoisyDQN,27,-21.0
1,NoisyDQN,28,-21.0
1,NoisyDQN,29,-21.0
1,DuelingDQN,0,-20.5
1,DuelingDQN,1,-21.0
1,DuelingDQN,2,-20.5
1,DuelingDQN,3,-20.5
1,DuelingDQN,4,-21.0
1,DuelingDQN,5,-20.5
1,DuelingDQN,6,-20.5
1,DuelingDQN,7,-20.5
1,DuelingDQN,8,-21.0
1,DuelingDQN,9,-20.0
1,DuelingDQN,10,-20.5
1,DuelingDQN,11,-21.0
1,DuelingDQN,12,-21.0
1,DuelingDQN,13,-20.5
1,DuelingDQN,14,-21.0
1,DuelingDQN,15,-21.0
1,DuelingDQN,16,-20.5
1,DuelingDQN,17,-20.0
1,DuelingDQN,18,-20.5
1,DuelingDQN,19,-21.0
1,DuelingDQN,20,-20.5
1,DuelingDQN,21,-21.0
1,DuelingDQN,22,-21.0
1,DuelingDQN,23,-20.0
1,DuelingDQN,24,-21.0
1,DuelingDQN,25,-20.5
1,DuelingDQN,26,-21.0
1,DuelingDQN,27,-20.0
1,DuelingDQN,28,-20.0
1,DuelingDQN,29,-21.0
1,DistributionalDQN,0,-21.0
1,DistributionalDQN,1,-21.0
1,DistributionalDQN,2,-21.0
1,DistributionalDQN,3,-20.5
1,DistributionalDQN,4,-21.0
1,DistributionalDQN,5,-21.0
1,DistributionalDQN,6,-21.0
1,DistributionalDQN,7,-21.0
1,DistributionalDQN,8,-21.0
1,DistributionalDQN,9,-21.0
1,DistributionalDQN,10,-20.0
1,DistributionalDQN,11,-20.0
1,DistributionalDQN,12,-21.0
1,DistributionalDQN,13,-21.0
1,DistributionalDQN,14,-21.0
