block_id,model,episode_idx,reward
0,DQN,0,675
0,DQN,1,675
0,DQN,2,675
0,DQN,3,675
0,DQN,4,675
0,DQN,5,675
0,DQN,6,675
0,DQN,7,675
0,DQN,8,675
0,DQN,9,675
0,DQN,10,150
0,DQN,11,675
0,DQN,12,675
0,DQN,13,675
0,DQN,14,675
0,DQN,15,675
0,DQN,16,675
0,DQN,17,675
0,DQN,18,675
0,DQN,19,675
0,DQN,20,675
0,DQN,21,675
0,DQN,22,675
0,DQN,23,675
0,DQN,24,675
0,DQN,25,675
0,DQN,26,675
0,DQN,27,675
0,DQN,28,675
0,DQN,29,675
0,DDQN,0,175
0,DDQN,1,175
0,DDQN,2,175
0,DDQN,3,175
0,DDQN,4,675
0,DDQN,5,175
0,DDQN,6,175
0,DDQN,7,675
0,DDQN,8,175
0,DDQN,9,675
0,DDQN,10,175
0,DDQN,11,175
0,DDQN,12,175
0,DDQN,13,675
0,DDQN,14,175
0,DDQN,15,175
0,DDQN,16,675
0,DDQN,17,175
0,DDQN,18,675
0,DDQN,19,175
0,DDQN,20,175
0,DDQN,21,675
0,DDQN,22,175
0,DDQN,23,175
0,DDQN,24,175
0,DDQN,25,175
0,DDQN,26,175
0,DDQN,27,175
0,DDQN,28,175
0,DDQN,29,175
0,NoisyDQN,0,175
0,NoisyDQN,1,175
0,NoisyDQN,2,175
0,NoisyDQN,3,175
0,NoisyDQN,4,175
0,NoisyDQN,5,175
0,NoisyDQN,6,175
0,NoisyDQN,7,175
0,NoisyDQN,8,175
0,NoisyDQN,9,175
0,NoisyDQN,10,175
0,NoisyDQN,11,175
0,NoisyDQN,12,175
0,NoisyDQN,13,175
0,NoisyDQN,14,175
0,NoisyDQN,15,175
0,NoisyDQN,16,175
0,NoisyDQN,17,175
0,NoisyDQN,18,175
0,NoisyDQN,19,175
0,NoisyDQN,20,175
0,NoisyDQN,21,175
0,NoisyDQN,22,175
0,NoisyDQN,23,175
0,NoisyDQN,24,175
0,NoisyDQN,25,175
0,NoisyDQN,26,175
0,NoisyDQN,27,175
0,NoisyDQN,28,175
0,NoisyDQN,29,175
0,DuelingDQN,0,675
0,DuelingDQN,1,675
0,DuelingDQN,2,675
0,DuelingDQN,3,675
0,DuelingDQN,4,675
0,DuelingDQN,5,675
0,DuelingDQN,6,675
0,DuelingDQN,7,675
0,DuelingDQN,8,675
0,DuelingDQN,9,675
0,DuelingDQN,10,675
0,DuelingDQN,11,675
0,DuelingDQN,12,675
0,DuelingDQN,13,675
0,DuelingDQN,14,675
0,DuelingDQN,15,675
0,DuelingDQN,16,675
0,DuelingDQN,17,675
0,DuelingDQN,18,675
0,DuelingDQN,19,675
0,DuelingDQN,20,675
0,DuelingDQN,21,675
0,DuelingDQN,22,675
0,DuelingDQN,23,675
0,DuelingDQN,24,675
0,DuelingDQN,25,675
0,DuelingDQN,26,675
0,DuelingDQN,27,675
0,DuelingDQN,28,675
0,DuelingDQN,29,675
0,DistributionalDQN,0,425
0,DistributionalDQN,1,425
0,DistributionalDQN,2,425
0,DistributionalDQN,3,425
0,DistributionalDQN,4,425
0,DistributionalDQN,5,425
0,DistributionalDQN,6,425
0,DistributionalDQN,7,425
0,DistributionalDQN,8,425
0,DistributionalDQN,9,425
0,DistributionalDQN,10,425
0,DistributionalDQN,11,425
0,DistributionalDQN,12,425
0,DistributionalDQN,13,425
0,DistributionalDQN,14,425
0,DistributionalDQN,15,425
0,DistributionalDQN,16,425
0,DistributionalDQN,17,425
0,DistributionalDQN,18,425
0,DistributionalDQN,19,425
0,DistributionalDQN,20,425
0,DistributionalDQN,21,425
0,DistributionalDQN,22,425
0,DistributionalDQN,23,425
0,DistributionalDQN,24,425
0,DistributionalDQN,25,425
0,DistributionalDQN,26,425
0,DistributionalDQN,27,425
0,DistributionalDQN,28,425
0,DistributionalDQN,29,425
1,DQN,0,180
1,DQN,1,180
1,DQN,2,180
1,DQN,3,195
1,DQN,4,165
1,DQN,5,150
1,DQN,6,90
1,DQN,7,165
1,DQN,8,150
1,DQN,9,165
1,DQN,10,225
1,DQN,11,135
1,DQN,12,180
1,DQN,13,165
1,DQN,14,225
1,DQN,15,195
1,DQN,16,210
1,DQN,17,195
1,DQN,18,150
1,DQN,19,150
1,DQN,20,75
1,DQN,21,120
1,DQN,22,75
1,DQN,23,90
1,DQN,24,75
1,DQN,25,90
