block_id,model,episode_idx,reward
0,DQN,0,2400
0,DQN,1,1400
0,DQN,2,2200
0,DQN,3,2200
0,DQN,4,900
0,DQN,5,2300
0,DQN,6,700
0,DQN,7,2300
0,DQN,8,1000
0,DQN,9,700
0,DQN,10,2300
0,DQN,11,700
0,DQN,12,1000
0,DQN,13,3200
0,DQN,14,700
0,DQN,15,3200
0,DQN,16,5100
0,DQN,17,1000
0,DQN,18,1000
0,DQN,19,4300
0,DQN,20,2300
0,DQN,21,2400
0,DQN,22,4100
0,DQN,23,2100
0,DQN,24,2300
0,DQN,25,1200
0,DQN,26,400
0,DQN,27,3200
0,DQN,28,2600
0,DQN,29,1600
0,DDQN,0,5600
0,DDQN,1,6800
0,DDQN,2,4500
0,DDQN,3,4700
0,DDQN,4,2800
0,DDQN,5,7500
0,DDQN,6,3700
0,DDQN,7,1500
0,DDQN,8,4100
0,DDQN,9,5900
0,DDQN,10,3300
0,DDQN,11,1300
0,DDQN,12,6900
0,DDQN,13,6300
0,DDQN,14,5300
0,DDQN,15,3200
0,DDQN,16,2100
0,DDQN,17,4500
0,DDQN,18,2000
0,DDQN,19,4600
0,DDQN,20,1400
0,DDQN,21,4100
0,DDQN,22,5000
0,DDQN,23,800
0,DDQN,24,3600
0,DDQN,25,1100
0,DDQN,26,7500
0,DDQN,27,3600
0,DDQN,28,5400
0,DDQN,29,3200
0,NoisyDQN,0,5100
0,NoisyDQN,1,5300
0,NoisyDQN,2,900
0,NoisyDQN,3,4400
0,NoisyDQN,4,4300
0,NoisyDQN,5,3800
0,NoisyDQN,6,6300
0,NoisyDQN,7,3400
0,NoisyDQN,8,6300
0,NoisyDQN,9,7100
0,NoisyDQN,10,4400
0,NoisyDQN,11,900
0,NoisyDQN,12,6300
0,NoisyDQN,13,6700
0,NoisyDQN,14,11400
0,NoisyDQN,15,5400
0,NoisyDQN,16,6400
0,NoisyDQN,17,3300
0,NoisyDQN,18,2000
0,NoisyDQN,19,400
0,NoisyDQN,20,4300
0,NoisyDQN,21,6300
0,NoisyDQN,22,5300
0,NoisyDQN,23,3500
0,NoisyDQN,24,5300
0,NoisyDQN,25,5900
0,NoisyDQN,26,4500
0,NoisyDQN,27,3400
0,NoisyDQN,28,10000
0,NoisyDQN,29,6300
0,DuelingDQN,0,0
0,DuelingDQN,1,2000
0,DuelingDQN,2,2000
0,DuelingDQN,3,2000
0,DuelingDQN,4,2000
0,DuelingDQN,5,1000
0,DuelingDQN,6,1000
0,DuelingDQN,7,2000
0,DuelingDQN,8,2000
0,DuelingDQN,9,1000
0,DuelingDQN,10,2000
0,DuelingDQN,11,2000
0,DuelingDQN,12,2000
0,DuelingDQN,13,2000
0,DuelingDQN,14,2000
0,DuelingDQN,15,2000
0,DuelingDQN,16,2000
0,DuelingDQN,17,2000
0,DuelingDQN,18,1000
0,DuelingDQN,19,2000
0,DuelingDQN,20,1000
0,DuelingDQN,21,2000
0,DuelingDQN,22,1100
0,DuelingDQN,23,2000
0,DuelingDQN,24,2000
0,DuelingDQN,25,1000
0,DuelingDQN,26,2000
0,DuelingDQN,27,2100
0,DuelingDQN,28,1000
0,DuelingDQN,29,1000
0,DistributionalDQN,0,4600
0,DistributionalDQN,1,1800
0,DistributionalDQN,2,3600
0,DistributionalDQN,3,500
0,DistributionalDQN,4,1300
0,DistributionalDQN,5,1800
0,DistributionalDQN,6,100
0,DistributionalDQN,7,4200
0,DistributionalDQN,8,2800
0,DistributionalDQN,9,100
0,DistributionalDQN,10,500
0,DistributionalDQN,11,3300
0,DistributionalDQN,12,1100
0,DistributionalDQN,13,4600
0,DistributionalDQN,14,100
0,DistributionalDQN,15,2500
0,DistributionalDQN,16,2800
0,DistributionalDQN,17,7900
0,DistributionalDQN,18,3500
0,DistributionalDQN,19,1000
0,DistributionalDQN,20,4900
0,DistributionalDQN,21,1100
0,DistributionalDQN,22,4600
0,DistributionalDQN,23,3800
0,DistributionalDQN,24,2300
0,DistributionalDQN,25,100
0,DistributionalDQN,26,2600
0,DistributionalDQN,27,1100
0,DistributionalDQN,28,2000
0,DistributionalDQN,29,100
1,DQN,0,300
1,DQN,1,1800
1,DQN,2,3800
1,DQN,3,3000
1,DQN,4,800
1,DQN,5,1650
1,DQN,6,200
1,DQN,7,1250
1,DQN,8,1650
1,DQN,9,1400
1,DQN,10,800
1,DQN,11,2050
1,DQN,12,2300
1,DQN,13,700
1,DQN,14,1350
1,DQN,15,2200
1,DQN,16,2200
1,DQN,17,1450
1,DQN,18,800
1,DQN,19,1900
1,DQN,20,1750
1,DQN,21,1900
1,DQN,22,100
1,DQN,23,800
1,DQN,24,1100
1,DQN,25,550
1,DQN,26,450
1,DQN,27,200
1,DQN,28,600
1,DQN,29,1500
1,DDQN,0,1200
1,DDQN,1,900
1,DDQN,2,1000
1,DDQN,3,2500
1,DDQN,4,1000
1,DDQN,5,950
1,DDQN,6,1700
1,DDQN,7,1150
1,DDQN,8,1300
1,DDQN,9,1450
1,DDQN,10,500
1,DDQN,11,3150
