block_id,model,episode_idx,reward
0,DQN,0,120
0,DQN,1,180
0,DQN,2,300
0,DQN,3,260
0,DQN,4,180
0,DQN,5,400
0,DQN,6,300
0,DQN,7,240
0,DQN,8,300
0,DQN,9,280
0,DQN,10,280
0,DQN,11,140
0,DQN,12,220
0,DQN,13,240
0,DQN,14,300
0,DQN,15,180
0,DQN,16,180
0,DQN,17,260
0,DQN,18,160
0,DQN,19,300
0,DQN,20,120
0,DQN,21,280
0,DQN,22,280
0,DQN,23,280
0,DQN,24,300
0,DQN,25,240
0,DQN,26,280
0,DQN,27,240
0,DQN,28,160
0,DQN,29,180
0,DDQN,0,100
0,DDQN,1,240
0,DDQN,2,360
0,DDQN,3,240
0,DDQN,4,160
0,DDQN,5,200
0,DDQN,6,240
0,DDQN,7,240
0,DDQN,8,200
0,DDQN,9,360
0,DDQN,10,200
0,DDQN,11,220
0,DDQN,12,220
0,DDQN,13,320
0,DDQN,14,360
0,DDQN,15,200
0,DDQN,16,160
0,DDQN,17,180
0,DDQN,18,240
0,DDQN,19,200
0,DDQN,20,180
0,DDQN,21,160
0,DDQN,22,240
0,DDQN,23,160
0,DDQN,24,240
0,DDQN,25,240
0,DDQN,26,240
0,DDQN,27,160
0,DDQN,28,200
0,DDQN,29,280
0,NoisyDQN,0,160
0,NoisyDQN,1,100
0,NoisyDQN,2,100
0,NoisyDQN,3,100
0,NoisyDQN,4,120
0,NoisyDQN,5,100
0,NoisyDQN,6,180
0,NoisyDQN,7,160
0,NoisyDQN,8,160
0,NoisyDQN,9,160
0,NoisyDQN,10,100
0,NoisyDQN,11,160
0,NoisyDQN,12,100
0,NoisyDQN,13,100
0,NoisyDQN,14,100
0,NoisyDQN,15,80
0,NoisyDQN,16,100
0,NoisyDQN,17,180
0,NoisyDQN,18,120
0,NoisyDQN,19,160
0,NoisyDQN,20,160
0,NoisyDQN,21,140
0,NoisyDQN,22,200
0,NoisyDQN,23,160
0,NoisyDQN,24,100
0,NoisyDQN,25,120
0,NoisyDQN,26,120
0,NoisyDQN,27,100
0,NoisyDQN,28,160
0,NoisyDQN,29,120
0,DuelingDQN,0,160
0,DuelingDQN,1,180
0,DuelingDQN,2,180
0,DuelingDQN,3,360
0,DuelingDQN,4,280
0,DuelingDQN,5,140
0,DuelingDQN,6,260
0,DuelingDQN,7,140
0,DuelingDQN,8,280
0,DuelingDQN,9,220
0,DuelingDQN,10,280
0,DuelingDQN,11,260
0,DuelingDQN,12,280
0,DuelingDQN,13,280
0,DuelingDQN,14,220
0,DuelingDQN,15,220
0,DuelingDQN,16,240
0,DuelingDQN,17,440
0,DuelingDQN,18,180
0,DuelingDQN,19,180
0,DuelingDQN,20,180
0,DuelingDQN,21,220
0,DuelingDQN,22,180
0,DuelingDQN,23,280
0,DuelingDQN,24,180
0,DuelingDQN,25,300
0,DuelingDQN,26,300
0,DuelingDQN,27,180
0,DuelingDQN,28,220
0,DuelingDQN,29,180
0,DistributionalDQN,0,200
0,DistributionalDQN,1,240
0,DistributionalDQN,2,240
0,DistributionalDQN,3,240
0,DistributionalDQN,4,240
0,DistributionalDQN,5,200
0,DistributionalDQN,6,220
0,DistributionalDQN,7,220
0,DistributionalDQN,8,220
0,DistributionalDQN,9,240
0,DistributionalDQN,10,220
