,block_id,episode,reward,avg_reward,reliability,mse
0,0,0,8000,5400.0,"[0.19959290325641632, 0.19959290325641632, 0.20035915076732635, 0.2000540941953659, 0.20040099322795868]","[0.00526354881003499, 0.003306764643639326, 0.00011741864727810025, 0.0008856501081027091, 0.0001746308262227103]"
1,0,1,3000,5400.0,"[0.19961194694042206, 0.19961194694042206, 0.20047734677791595, 0.20017150044441223, 0.20012719929218292]","[0.00526354881003499, 0.003306764643639326, 0.00011700276809278876, 0.0008856501081027091, 0.0005580263095907867]"
2,0,2,5000,5400.0,"[0.1995912790298462, 0.1995912790298462, 0.20040182769298553, 0.20009565353393555, 0.2003200352191925]","[0.00526354881003499, 0.003306764643639326, 0.00011667939543258399, 0.0008856501081027091, 1.1571425602596719e-05]"
3,0,3,4000,5400.0,"[0.1996375471353531, 0.1996375471353531, 0.2005276083946228, 0.1998594105243683, 0.2003379911184311]","[0.004596245940774679, 0.0042002820409834385, 0.00026599649572744966, 0.0018031750805675983, 0.000707097293343395]"
4,0,4,4000,5400.0,"[0.1996375471353531, 0.1996375471353531, 0.2005276083946228, 0.1998594105243683, 0.2003379911184311]","[0.004596245940774679, 0.0042002820409834385, 0.00026599649572744966, 0.0018031750805675983, 0.000707097293343395]"
5,0,5,4000,5400.0,"[0.1996375471353531, 0.1996375471353531, 0.2005276083946228, 0.1998594105243683, 0.2003379911184311]","[0.004596245940774679, 0.0042002820409834385, 0.00026599649572744966, 0.0018031750805675983, 0.000707097293343395]"
6,0,6,3000,5400.0,"[0.19961194694042206, 0.19961194694042206, 0.20047734677791595, 0.20017150044441223, 0.20012719929218292]","[0.00526354881003499, 0.003306764643639326, 0.00011700276809278876, 0.0008856501081027091, 0.0005580263095907867]"
7,0,7,5000,5400.0,"[0.1995912790298462, 0.1995912790298462, 0.20040182769298553, 0.20009565353393555, 0.2003200352191925]","[0.00526354881003499, 0.003306764643639326, 0.00011667939543258399, 0.0008856501081027091, 1.1571425602596719e-05]"
8,0,8,8000,5400.0,"[0.19959290325641632, 0.19959290325641632, 0.20035915076732635, 0.2000540941953659, 0.20040099322795868]","[0.00526354881003499, 0.003306764643639326, 0.00011741864727810025, 0.0008856501081027091, 0.0001746308262227103]"
9,0,9,3000,5400.0,"[0.19961194694042206, 0.19961194694042206, 0.20047734677791595, 0.20017150044441223, 0.20012719929218292]","[0.00526354881003499, 0.003306764643639326, 0.00011700276809278876, 0.0008856501081027091, 0.0005580263095907867]"
