,block_id,episode,reward,avg_reward,reliability,mse
0,0,0,3,-7.366666666666666,"[0.18171288073062897, 0.1969788372516632, 0.2087557166814804, 0.20360666513442993, 0.20894591510295868]","[0.5206154584884644, 0.014340121299028397, 8.596559200668707e-05, 0.00270272558555007, 4.0960068758977286e-07]"
1,0,1,1,-7.366666666666666,"[0.18252190947532654, 0.20742271840572357, 0.18739432096481323, 0.2085813283920288, 0.21407976746559143]","[0.4463190734386444, 0.014050609432160854, 0.026619093492627144, 0.0014255085261538625, 4.4273165258346125e-05]"
2,0,2,-6,-7.366666666666666,"[0.18339407444000244, 0.19560296833515167, 0.2085510939359665, 0.20346766710281372, 0.20898425579071045]","[0.417402446269989, 0.01759711466729641, 0.0003802170976996422, 0.0028287703171372414, 3.4146734328999173e-09]"
3,0,3,-16,-7.366666666666666,"[0.18398568034172058, 0.19624626636505127, 0.20743635296821594, 0.2048700600862503, 0.2074616700410843]","[0.4038894474506378, 0.014340121299028397, 2.5882447516778484e-05, 0.0010642281267791986, 1.3790764796794974e-07]"
4,0,4,1,-7.366666666666666,"[0.18252190947532654, 0.20742271840572357, 0.18739432096481323, 0.2085813283920288, 0.21407976746559143]","[0.4463190734386444, 0.014050609432160854, 0.026619093492627144, 0.0014255085261538625, 4.4273165258346125e-05]"
5,0,5,-3,-7.366666666666666,"[0.18574091792106628, 0.19582605361938477, 0.2083640992641449, 0.20157070457935333, 0.20849819481372833]","[0.3152119815349579, 0.01579459011554718, 0.00010485093662282452, 0.006576856132596731, 2.788439756873373e-10]"
6,0,6,-6,-7.366666666666666,"[0.18839801847934723, 0.20134226977825165, 0.20430365204811096, 0.20082645118236542, 0.20512954890727997]","[0.22515854239463806, 6.967398076085374e-05, 0.0021404556464403868, 0.008311176672577858, 5.875899589113942e-08]"
7,0,7,0,-7.366666666666666,"[0.1842500865459442, 0.19545261561870575, 0.20875658094882965, 0.2024981528520584, 0.2090424746274948]","[0.3742615580558777, 0.01759711466729641, 0.00040048567461781204, 0.0034735039807856083, 7.633749632418585e-09]"
8,0,8,-2,-7.366666666666666,"[0.1827218383550644, 0.1958347111940384, 0.20888347923755646, 0.2033982276916504, 0.20916175842285156]","[0.4613523781299591, 0.01759711466729641, 0.00037104793591424823, 0.005725147668272257, 1.8300282123018263e-10]"
9,0,9,-29,-7.366666666666666,"[0.18441863358020782, 0.1954285353422165, 0.20854148268699646, 0.20272065699100494, 0.20889073610305786]","[0.369821697473526, 0.017741482704877853, 0.00010408829257357866, 0.005476963706314564, 6.263713547838279e-09]"
10,0,10,-3,-7.366666666666666,"[0.18501955270767212, 0.1971724033355713, 0.20786333084106445, 0.2018260359764099, 0.20811870694160461]","[0.34716102480888367, 0.014340121299028397, 0.00010417657904326916, 0.0032059571240097284, 1.6099788524570613e-07]"
11,0,11,1,-7.366666666666666,"[0.18325330317020416, 0.19653527438640594, 0.20786482095718384, 0.20442895591259003, 0.20791760087013245]","[0.43675556778907776, 0.014340121299028397, 8.177721610991284e-06, 0.0024783380795270205, 8.079815643213806e-07]"
12,0,12,0,-7.366666666666666,"[0.1831335574388504, 0.1970944106578827, 0.20859120786190033, 0.20385876297950745, 0.2073221206665039]","[0.4523863196372986, 0.014340121299028397, 0.00010256937821395695, 0.00042980076977983117, 0.0030012864153832197]"
13,0,13,0,-7.366666666666666,"[0.18642225861549377, 0.20097261667251587, 0.20569908618927002, 0.198917418718338, 0.20798861980438232]","[0.2950889766216278, 0.01759711466729641, 1.4149793969409075e-05, 0.011615305207669735, 3.134240978397429e-05]"
14,0,14,3,-7.366666666666666,"[0.18171288073062897, 0.1969788372516632, 0.2087557166814804, 0.20360666513442993, 0.20894591510295868]","[0.5206154584884644, 0.014340121299028397, 8.596559200668707e-05, 0.00270272558555007, 4.0960068758977286e-07]"
15,0,15,-17,-7.366666666666666,"[0.18313691020011902, 0.1964864581823349, 0.20807121694087982, 0.204165980219841, 0.20813938975334167]","[0.4429153800010681, 0.014340121299028397, 5.97886401010328e-06, 0.0022426494397222996, 2.1524651572235598e-07]"
16,0,16,-3,-7.366666666666666,"[0.18574091792106628, 0.19582605361938477, 0.2083640992641449, 0.20157070457935333, 0.20849819481372833]","[0.3152119815349579, 0.01579459011554718, 0.00010485093662282452, 0.006576856132596731, 2.788439756873373e-10]"
17,0,17,-8,-7.366666666666666,"[0.18143776059150696, 0.1965256780385971, 0.20859558880329132, 0.20467817783355713, 0.20876269042491913]","[0.5587180256843567, 0.01759711466729641, 0.00037104793591424823, 0.0027540007140487432, 2.994983105963911e-07]"
18,0,18,-29,-7.366666666666666,"[0.18441863358020782, 0.1954285353422165, 0.20854148268699646, 0.20272065699100494, 0.20889073610305786]","[0.369821697473526, 0.017741482704877853, 0.00010408829257357866, 0.005476963706314564, 6.263713547838279e-09]"
19,0,19,-16,-7.366666666666666,"[0.18362928926944733, 0.19001513719558716, 0.21076291799545288, 0.20465107262134552, 0.21094149351119995]","[0.411277174949646, 0.035559069365262985, 0.00037202390376478434, 0.005642617121338844, 2.398641875400731e-11]"
20,0,20,-2,-7.366666666666666,"[0.1827218383550644, 0.1958347111940384, 0.20888347923755646, 0.2033982276916504, 0.20916175842285156]","[0.4613523781299591, 0.01759711466729641, 0.00037104793591424823, 0.005725147668272257, 1.8300282123018263e-10]"
21,0,21,-9,-7.366666666666666,"[0.18305838108062744, 0.19655068218708038, 0.20786146819591522, 0.20458851754665375, 0.20794092118740082]","[0.4447884261608124, 0.014340121299028397, 1.358371719106799e-05, 0.0019661802798509598, 5.27390284332796e-07]"
22,0,22,-7,-7.366666666666666,"[0.18507951498031616, 0.19687041640281677, 0.20801527798175812, 0.2017991691827774, 0.20823562145233154]","[0.34471940994262695, 0.014340121299028397, 0.00010256937821395695, 0.004063630010932684, 1.0912523151773712e-07]"
23,0,23,1,-7.366666666666666,"[0.16153350472450256, 0.24998381733894348, 0.16153350472450256, 0.16153350472450256, 0.26541563868522644]","[2.8195667266845703, 0.8089255094528198, 1.0388962030410767, 1.6148838996887207, 0.7914772629737854]"
24,0,24,-29,-7.366666666666666,"[0.18441863358020782, 0.1954285353422165, 0.20854148268699646, 0.20272065699100494, 0.20889073610305786]","[0.369821697473526, 0.017741482704877853, 0.00010408829257357866, 0.005476963706314564, 6.263713547838279e-09]"
25,0,25,0,-7.366666666666666,"[0.18438813090324402, 0.19635863602161407, 0.2083049863576889, 0.20253214240074158, 0.20841610431671143]","[0.3784879744052887, 0.014340121299028397, 0.00010698696132749319, 0.005208231043070555, 3.687419791731372e-07]"
26,0,26,1,-7.366666666666666,"[0.16153350472450256, 0.24998381733894348, 0.16153350472450256, 0.16153350472450256, 0.26541563868522644]","[2.8195667266845703, 0.8089255094528198, 1.0388962030410767, 1.6148838996887207, 0.7914772629737854]"
27,0,27,1,-7.366666666666666,"[0.18396462500095367, 0.20683521032333374, 0.18740004301071167, 0.20843027532100677, 0.21336986124515533]","[0.37349575757980347, 0.014050609432160854, 0.02575528249144554, 0.0008526971214450896, 2.90764855890302e-05]"
28,0,28,-29,-7.366666666666666,"[0.18441863358020782, 0.1954285353422165, 0.20854148268699646, 0.20272065699100494, 0.20889073610305786]","[0.369821697473526, 0.017741482704877853, 0.00010408829257357866, 0.005476963706314564, 6.263713547838279e-09]"
29,0,29,-19,-7.366666666666666,"[0.18936632573604584, 0.200649693608284, 0.20440265536308289, 0.20028012990951538, 0.2053011655807495]","[0.19929154217243195, 0.000304217217490077, 0.0021404556464403868, 0.009602191857993603, 1.0235586245244122e-07]"
30,1,0,24,-0.9333333333333333,"[0.1800515502691269, 0.2067740112543106, 0.21185855567455292, 0.20171712338924408, 0.19959871470928192]","[0.6759014129638672, 0.028327850624918938, 0.00020178064005449414, 0.039792608469724655, 0.04632086679339409]"
31,1,1,12,-0.9333333333333333,"[0.18199795484542847, 0.20120595395565033, 0.2187926024198532, 0.1868654191493988, 0.2111380398273468]","[0.5201706290245056, 0.028327850624918938, 0.000759011076297611, 0.04783770442008972, 0.01422683335840702]"
32,1,2,13,-0.9333333333333333,"[0.18313276767730713, 0.19131585955619812, 0.20869825780391693, 0.20797966420650482, 0.208873450756073]","[0.4271981418132782, 0.026337940245866776, 3.955547526857117e-06, 0.0019467415986582637, 2.0369137928355485e-05]"
33,1,3,9,-0.9333333333333333,"[0.1867559850215912, 0.19694200158119202, 0.2117227464914322, 0.19516979157924652, 0.20940956473350525]","[0.29133114218711853, 0.020893529057502747, 2.392163878539577e-06, 0.021735701709985733, 3.456707781879231e-05]"
34,1,4,27,-0.9333333333333333,"[0.1891276240348816, 0.19521845877170563, 0.20545968413352966, 0.204807311296463, 0.2053869664669037]","[0.2258615791797638, 0.018377214670181274, 8.182744204532355e-05, 0.0012487181229516864, 1.0848532383533893e-07]"
35,1,5,2,-0.9333333333333333,"[0.18216414749622345, 0.19593216478824615, 0.21041642129421234, 0.20053531229496002, 0.2109520137310028]","[0.4752083718776703, 0.018377214670181274, 5.214184784563258e-05, 0.014261700212955475, 5.082328789285384e-05]"
36,1,6,-4,-0.9333333333333333,"[0.18194206058979034, 0.20195309817790985, 0.21658602356910706, 0.1979263573884964, 0.20159243047237396]","[0.5056431889533997, 0.020893529057502747, 2.392163878539577e-06, 0.028541436418890953, 0.001781676895916462]"
37,1,7,2,-0.9333333333333333,"[0.18161046504974365, 0.19434410333633423, 0.20844942331314087, 0.20772479474544525, 0.2078712284564972]","[0.5147422552108765, 0.022039620205760002, 0.00010066348477266729, 8.484429599775467e-06, 2.5763090434338665e-06]"
38,1,8,3,-0.9333333333333333,"[0.18775160610675812, 0.19855889678001404, 0.21422843635082245, 0.19446814060211182, 0.20499293506145477]","[0.25984999537467957, 0.023328261449933052, 0.0006494641420431435, 0.032275907695293427, 0.01719609834253788]"
39,1,9,-4,-0.9333333333333333,"[0.1802731454372406, 0.19315049052238464, 0.20545315742492676, 0.20897351205348969, 0.2121497094631195]","[0.6467233300209045, 0.030743006616830826, 5.214184784563258e-05, 1.6862020856933668e-05, 0.000763655814807862]"
40,1,10,-9,-0.9333333333333333,"[0.1858423948287964, 0.20555917918682098, 0.22001822292804718, 0.1858423948287964, 0.20273776352405548]","[0.29133114218711853, 0.020893529057502747, 0.0017221138114109635, 0.05294625088572502, 4.686835018219426e-05]"
41,1,11,-25,-0.9333333333333333,"[0.1846167892217636, 0.20310291647911072, 0.2165052890777588, 0.18518796563148499, 0.2105870246887207]","[0.36946070194244385, 0.018377214670181274, 5.214184784563258e-05, 0.048992641270160675, 7.2931261456687935e-06]"
42,1,12,-13,-0.9333333333333333,"[0.1803572028875351, 0.19918769598007202, 0.213988795876503, 0.20842576026916504, 0.19804048538208008]","[0.602022647857666, 0.022039620205760002, 0.000577001366764307, 0.012126827612519264, 0.0015510589582845569]"
43,1,13,-6,-0.9333333333333333,"[0.18059171736240387, 0.1999955177307129, 0.20215170085430145, 0.20373256504535675, 0.21352846920490265]","[0.6268424987792969, 0.018377214670181274, 5.214184784563258e-05, 0.01918679289519787, 7.976751658134162e-05]"
44,1,14,-8,-0.9333333333333333,"[0.18115364015102386, 0.20028945803642273, 0.2145610898733139, 0.19031091034412384, 0.21368493139743805]","[0.5595945715904236, 0.022039620205760002, 0.0003264313854742795, 0.04373684152960777, 0.001539880526252091]"
45,1,15,8,-0.9333333333333333,"[0.1858903020620346, 0.2000562697649002, 0.2144775390625, 0.1858903020620346, 0.21368557214736938]","[0.31528234481811523, 0.020893529057502747, 7.184850255725905e-05, 0.06361142545938492, 0.0025002965703606606]"
46,1,16,-13,-0.9333333333333333,"[0.18505406379699707, 0.20468661189079285, 0.2229643017053604, 0.1948522925376892, 0.19244270026683807]","[0.34936240315437317, 0.023940544575452805, 9.800409088711604e-07, 0.032095540314912796, 0.06905283778905869]"
47,1,17,-14,-0.9333333333333333,"[0.1813039630651474, 0.19499297440052032, 0.20923571288585663, 0.20503666996955872, 0.20943066477775574]","[0.5392396450042725, 0.022039620205760002, 5.338691835277132e-07, 0.0004919790080748498, 2.2823320122711266e-08]"
48,1,18,5,-0.9333333333333333,"[0.18107099831104279, 0.20486101508140564, 0.2176968902349472, 0.18152187764644623, 0.2148492932319641]","[0.5651213526725769, 0.020893529057502747, 9.672497253632173e-05, 0.05294625088572502, 0.0008842508541420102]"
49,1,19,4,-0.9333333333333333,"[0.18359555304050446, 0.20142734050750732, 0.21442100405693054, 0.18359555304050446, 0.21696056425571442]","[0.3692623972892761, 0.023328261449933052, 0.006636934354901314, 0.06744737178087234, 0.0008255012216977775]"
50,1,20,10,-0.9333333333333333,"[0.38461539149284363, 0.1538461595773697, 0.1538461595773697, 0.1538461595773697, 0.1538461595773697]","[1.0726677179336548, 4.615869522094727, 4.096660614013672, 4.360143661499023, 3.190129518508911]"
51,1,21,22,-0.9333333333333333,"[0.1869949847459793, 0.19677136838436127, 0.20575866103172302, 0.19893024861812592, 0.21154475212097168]","[0.28490039706230164, 0.022039620205760002, 0.009547565132379532, 0.024078739807009697, 1.250293166776828e-06]"
52,1,22,-28,-0.9333333333333333,"[0.1823883205652237, 0.1921367049217224, 0.20419874787330627, 0.20600533485412598, 0.21527086198329926]","[0.43011003732681274, 0.001699624815955758, 0.001145160524174571, 1.5648354747099802e-05, 2.4807746967780986e-07]"
53,1,23,-26,-0.9333333333333333,"[0.18127818405628204, 0.2075803279876709, 0.2008156180381775, 0.18127818405628204, 0.22904758155345917]","[0.5368822813034058, 0.03245179355144501, 0.022522171959280968, 0.0680612176656723, 7.1116928666015156e-06]"
54,1,24,-15,-0.9333333333333333,"[0.18261593580245972, 0.197956383228302, 0.21120259165763855, 0.20407235622406006, 0.2041526883840561]","[0.47143465280532837, 0.018377214670181274, 5.214184784563258e-05, 0.007449940778315067, 0.00010182872938457876]"
55,1,25,0,-0.9333333333333333,"[0.1813054382801056, 0.20137743651866913, 0.2141537070274353, 0.18917149305343628, 0.2139919102191925]","[0.5410231947898865, 0.018377214670181274, 5.214184784563258e-05, 0.03903815522789955, 1.3011962174402925e-08]"
