,block_id,episode,reward,avg_reward,reliability,mse
0,0,0,22.0,22.2,"[0.20788174867630005, 0.1942206621170044, 0.20945627987384796, 0.1942206621170044, 0.1942206621170044]","[0.004254612140357494, 0.061462026089429855, 0.001204269123263657, 0.06438922882080078, 0.031873464584350586]"
1,0,1,22.0,22.2,"[0.17980556190013885, 0.19312773644924164, 0.2296971082687378, 0.190817728638649, 0.20655183494091034]","[0.7460153102874756, 0.061462026089429855, 0.0012040584115311503, 0.06438922882080078, 0.031873464584350586]"
2,0,2,23.0,22.2,"[0.18139824271202087, 0.19281882047653198, 0.22898447513580322, 0.19083893299102783, 0.2059594839811325]","[0.626640260219574, 0.061462026089429855, 0.0012040584115311503, 0.06438922882080078, 0.031873464584350586]"
3,0,3,22.0,22.2,"[0.18474221229553223, 0.1923370510339737, 0.22737619280815125, 0.19034308195114136, 0.20520150661468506]","[0.3717116713523865, 0.061462026089429855, 0.0012042018352076411, 0.06438922882080078, 0.031873464584350586]"
4,0,4,24.0,22.2,"[0.2078597992658615, 0.19422559440135956, 0.2094634771347046, 0.19422559440135956, 0.19422559440135956]","[0.004211324732750654, 0.061462026089429855, 0.001204109052196145, 0.06438922882080078, 0.031873464584350586]"
5,0,5,22.0,22.2,"[0.2075483649969101, 0.1942732036113739, 0.20963211357593536, 0.1942732036113739, 0.1942732036113739]","[0.005011488683521748, 0.061462026089429855, 0.0012040524743497372, 0.06438922882080078, 0.031873464584350586]"
6,0,6,23.0,22.2,"[0.192623570561409, 0.192623570561409, 0.22230952978134155, 0.192623570561409, 0.19981969892978668]","[0.10004565864801407, 0.061462026089429855, 0.0012040524743497372, 0.06438922882080078, 0.031873464584350586]"
7,0,7,21.0,22.2,"[0.18634478747844696, 0.19200089573860168, 0.2268804907798767, 0.19000717997550964, 0.20476660132408142]","[0.31085318326950073, 0.061462026089429855, 0.0012042018352076411, 0.06438922882080078, 0.031873464584350586]"
8,0,8,22.0,22.2,"[0.20781861245632172, 0.19423000514507294, 0.20949141681194305, 0.19423000514507294, 0.19423000514507294]","[0.004236349370330572, 0.061462026089429855, 0.001204109052196145, 0.06438922882080078, 0.031873464584350586]"
9,0,9,23.0,22.2,"[0.20781399309635162, 0.19423262774944305, 0.20948804914951324, 0.19423262774944305, 0.19423262774944305]","[0.004543852061033249, 0.061462026089429855, 0.001204269123263657, 0.06438922882080078, 0.031873464584350586]"
