,block_id,episode,reward,avg_reward,reliability,mse
0,0,0,2940,2176.0,"[0.16144323348999023, 0.16144323348999023, 0.26060858368873596, 0.2550617456436157, 0.16144323348999023]","[0.5490531921386719, 0.6280227303504944, 0.0013303877785801888, 0.0035953945480287075, 0.2051876336336136]"
1,0,1,1740,2176.0,"[0.15909211337566376, 0.15909211337566376, 0.2611156702041626, 0.26160794496536255, 0.15909211337566376]","[0.7137500643730164, 0.7234646081924438, 0.0008501322590745986, 0.00015488124336116016, 0.8235544562339783]"
2,0,2,2940,2176.0,"[0.16144323348999023, 0.16144323348999023, 0.26060858368873596, 0.2550617456436157, 0.16144323348999023]","[0.5490531921386719, 0.6280227303504944, 0.0013303877785801888, 0.0035953945480287075, 0.2051876336336136]"
3,0,3,2050,2176.0,"[0.1606893390417099, 0.1606893390417099, 0.357242614030838, 0.1606893390417099, 0.1606893390417099]","[1.077857494354248, 0.37583109736442566, 0.024321159347891808, 0.30444589257240295, 0.47811800241470337]"
4,0,4,1640,2176.0,"[0.16521181166172028, 0.2080630362033844, 0.2743750512599945, 0.18713827431201935, 0.16521181166172028]","[0.38716238737106323, 0.08223782479763031, 0.0016794040566310287, 0.08531475812196732, 1.587376594543457]"
5,0,5,2450,2176.0,"[0.1784273386001587, 0.1784273386001587, 0.23278376460075378, 0.23193423449993134, 0.1784273386001587]","[0.169905424118042, 0.38053491711616516, 1.5430750863743015e-05, 0.0015481360023841262, 0.16298532485961914]"
6,0,6,2050,2176.0,"[0.1606893390417099, 0.1606893390417099, 0.357242614030838, 0.1606893390417099, 0.1606893390417099]","[1.077857494354248, 0.37583109736442566, 0.024321159347891808, 0.30444589257240295, 0.47811800241470337]"
7,0,7,1740,2176.0,"[0.15909211337566376, 0.15909211337566376, 0.2611156702041626, 0.26160794496536255, 0.15909211337566376]","[0.7137500643730164, 0.7234646081924438, 0.0008501322590745986, 0.00015488124336116016, 0.8235544562339783]"
8,0,8,1740,2176.0,"[0.15909211337566376, 0.15909211337566376, 0.2611156702041626, 0.26160794496536255, 0.15909211337566376]","[0.7137500643730164, 0.7234646081924438, 0.0008501322590745986, 0.00015488124336116016, 0.8235544562339783]"
9,0,9,2450,2176.0,"[0.1784273386001587, 0.1784273386001587, 0.23278376460075378, 0.23193423449993134, 0.1784273386001587]","[0.169905424118042, 0.38053491711616516, 1.5430750863743015e-05, 0.0015481360023841262, 0.16298532485961914]"
10,0,10,2450,2176.0,"[0.1910778433084488, 0.1790408194065094, 0.2717997133731842, 0.1790408194065094, 0.1790408194065094]","[0.1378082036972046, 0.24250400066375732, 0.005223576445132494, 0.2757328748703003, 0.3110143840312958]"
11,0,11,1990,2176.0,"[0.1636689156293869, 0.25488919019699097, 0.23453496396541595, 0.18323802947998047, 0.1636689156293869]","[0.5501661896705627, 0.028433866798877716, 0.07093868404626846, 0.11011290550231934, 0.875201404094696]"
12,0,12,2940,2176.0,"[0.16144323348999023, 0.16144323348999023, 0.26060858368873596, 0.2550617456436157, 0.16144323348999023]","[0.5490531921386719, 0.6280227303504944, 0.0013303877785801888, 0.0035953945480287075, 0.2051876336336136]"
13,0,13,1740,2176.0,"[0.15909211337566376, 0.15909211337566376, 0.2611156702041626, 0.26160794496536255, 0.15909211337566376]","[0.7137500643730164, 0.7234646081924438, 0.0008501322590745986, 0.00015488124336116016, 0.8235544562339783]"
14,0,14,2050,2176.0,"[0.1606893390417099, 0.1606893390417099, 0.357242614030838, 0.1606893390417099, 0.1606893390417099]","[1.077857494354248, 0.37583109736442566, 0.024321159347891808, 0.30444589257240295, 0.47811800241470337]"
15,0,15,1740,2176.0,"[0.15909211337566376, 0.15909211337566376, 0.2611156702041626, 0.26160794496536255, 0.15909211337566376]","[0.7137500643730164, 0.7234646081924438, 0.0008501322590745986, 0.00015488124336116016, 0.8235544562339783]"
