,block_id,episode,reward,avg_reward,reliability,mse
0,0,0,0,0.0,"[0.19993914663791656, 0.19993914663791656, 0.19993914663791656, 0.19993914663791656, 0.20024338364601135]","[1.8323113408769132e-06, 1.6013812000892358e-06, 1.085068561224034e-05, 2.7542113457457162e-05, 7.0717251499097245e-12]"
1,0,1,0,0.0,"[0.19993914663791656, 0.19993914663791656, 0.19993914663791656, 0.19993914663791656, 0.20024338364601135]","[1.8323113408769132e-06, 1.6013812000892358e-06, 1.085068561224034e-05, 2.7542113457457162e-05, 7.0717251499097245e-12]"
2,0,2,0,0.0,"[0.19993914663791656, 0.19993914663791656, 0.19993914663791656, 0.19993914663791656, 0.20024338364601135]","[1.8323113408769132e-06, 1.6013812000892358e-06, 1.085068561224034e-05, 2.7542113457457162e-05, 7.0717251499097245e-12]"
3,0,3,0,0.0,"[0.19996020197868347, 0.19996020197868347, 0.19996020197868347, 0.19996020197868347, 0.2001591920852661]","[4.598042869474739e-05, 3.887436378136044e-06, 1.083314145944314e-05, 2.760330607998185e-05, 2.7345679431793612e-14]"
4,0,4,0,0.0,"[0.19993913173675537, 0.19993913173675537, 0.19993913173675537, 0.19993913173675537, 0.2002434879541397]","[1.8323113408769132e-06, 1.6013812000892358e-06, 1.085068561224034e-05, 2.7542113457457162e-05, 7.0717251499097245e-12]"
5,0,5,0,0.0,"[0.19996020197868347, 0.19996020197868347, 0.19996020197868347, 0.19996020197868347, 0.2001591920852661]","[4.598042869474739e-05, 3.887436378136044e-06, 1.083314145944314e-05, 2.760330607998185e-05, 2.7345679431793612e-14]"
6,0,6,0,0.0,"[0.19993914663791656, 0.19993914663791656, 0.19993914663791656, 0.19993914663791656, 0.20024338364601135]","[1.8323113408769132e-06, 1.6013812000892358e-06, 1.085068561224034e-05, 2.7542113457457162e-05, 7.0717251499097245e-12]"
7,0,7,0,0.0,"[0.19993913173675537, 0.19993913173675537, 0.19993913173675537, 0.19993913173675537, 0.2002434879541397]","[1.8323113408769132e-06, 1.6013812000892358e-06, 1.085068561224034e-05, 2.7542113457457162e-05, 7.0717251499097245e-12]"
8,0,8,0,0.0,"[0.19996020197868347, 0.19996020197868347, 0.19996020197868347, 0.19996020197868347, 0.2001591920852661]","[4.598042869474739e-05, 3.887436378136044e-06, 1.083314145944314e-05, 2.760330607998185e-05, 2.7345679431793612e-14]"
9,0,9,0,0.0,"[0.19993914663791656, 0.19993914663791656, 0.19993914663791656, 0.19993914663791656, 0.20024338364601135]","[1.8323113408769132e-06, 1.6013812000892358e-06, 1.085068561224034e-05, 2.7542113457457162e-05, 7.0717251499097245e-12]"
