,block_id,episode,reward,avg_reward,reliability,mse
0,0,0,22300,15890.0,"[0.1954224854707718, 0.202362060546875, 0.20594422519207, 0.20084865391254425, 0.1954224854707718]","[0.07853268831968307, 0.006894027814269066, 0.002439964795485139, 0.014808032661676407, 0.02415640652179718]"
1,0,1,7800,15890.0,"[0.19360744953155518, 0.19577844440937042, 0.2036897838115692, 0.20307783782482147, 0.2038465291261673]","[0.11456842720508575, 0.014025259763002396, 0.001016204128973186, 0.0021094304975122213, 0.0006763413548469543]"
2,0,2,16400,15890.0,"[0.19141125679016113, 0.19741632044315338, 0.2109633982181549, 0.20879779756069183, 0.19141125679016113]","[0.0880284532904625, 0.021330194547772408, 0.0024386579170823097, 0.006635109893977642, 0.10660427063703537]"
3,0,3,14400,15890.0,"[0.19360069930553436, 0.201027050614357, 0.20634996891021729, 0.20542150735855103, 0.19360069930553436]","[0.10510245710611343, 0.01180308312177658, 0.0010171286994591355, 3.662889503175393e-05, 0.03686315566301346]"
4,0,4,14000,15890.0,"[0.19141030311584473, 0.20257362723350525, 0.20705321431159973, 0.20755255222320557, 0.19141030311584473]","[0.1516936719417572, 0.007650301326066256, 0.0024372669868171215, 0.00038057094207033515, 0.03203386068344116]"
5,0,5,16900,15890.0,"[0.19382557272911072, 0.19831611216068268, 0.20686431229114532, 0.20716850459575653, 0.19382557272911072]","[0.10963043570518494, 0.013800540938973427, 0.001020939671434462, 0.0002685831277631223, 0.026058796793222427]"
6,0,6,17600,15890.0,"[0.1912112534046173, 0.20068638026714325, 0.20832903683185577, 0.20856215059757233, 0.1912112534046173]","[0.1089717373251915, 0.012509037740528584, 0.001021442236378789, 0.00045712891733273864, 0.07485087960958481]"
7,0,7,17300,15890.0,"[0.19406527280807495, 0.2020941525697708, 0.20485073328018188, 0.2049245685338974, 0.19406527280807495]","[0.08862162381410599, 0.0007567781140096486, 0.0007546237320639193, 2.9323273338377476e-05, 0.026646792888641357]"
8,0,8,18200,15890.0,"[0.1977982074022293, 0.1977982074022293, 0.20146675407886505, 0.2011740505695343, 0.20176279544830322]","[0.026681533083319664, 0.01637946628034115, 0.0007533950847573578, 0.0009806982707232237, 1.1770873697969364e-06]"
9,0,9,9700,15890.0,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[2.525188446044922, 0.8077107667922974, 0.003005555598065257, 0.8751328587532043, 0.48132726550102234]"
