,block_id,episode,reward,avg_reward,reliability,mse
0,0,0,0,0.0,"[0.20001648366451263, 0.19993416965007782, 0.20011217892169952, 0.19982601702213287, 0.20011113584041595]","[0.0015307238791137934, 0.0016544589307159185, 0.0012268509017303586, 0.0040564206428825855, 0.0012955013662576675]"
1,0,1,0,0.0,"[0.20001648366451263, 0.19993416965007782, 0.20011217892169952, 0.19982601702213287, 0.20011113584041595]","[0.0015307238791137934, 0.0016544589307159185, 0.0012268509017303586, 0.0040564206428825855, 0.0012955013662576675]"
2,0,2,0,0.0,"[0.20001648366451263, 0.19993416965007782, 0.20011217892169952, 0.19982601702213287, 0.20011113584041595]","[0.0015307238791137934, 0.0016544589307159185, 0.0012268509017303586, 0.0040564206428825855, 0.0012955013662576675]"
3,0,3,0,0.0,"[0.20001648366451263, 0.19993416965007782, 0.20011217892169952, 0.19982601702213287, 0.20011113584041595]","[0.0015307238791137934, 0.0016544589307159185, 0.0012268509017303586, 0.0040564206428825855, 0.0012955013662576675]"
4,0,4,0,0.0,"[0.20001648366451263, 0.19993416965007782, 0.20011217892169952, 0.19982601702213287, 0.20011113584041595]","[0.0015307238791137934, 0.0016544589307159185, 0.0012268509017303586, 0.0040564206428825855, 0.0012955013662576675]"
5,0,5,0,0.0,"[0.20001648366451263, 0.19993416965007782, 0.20011217892169952, 0.19982601702213287, 0.20011113584041595]","[0.0015307238791137934, 0.0016544589307159185, 0.0012268509017303586, 0.0040564206428825855, 0.0012955013662576675]"
6,0,6,0,0.0,"[0.20001648366451263, 0.19993416965007782, 0.20011217892169952, 0.19982601702213287, 0.20011113584041595]","[0.0015307238791137934, 0.0016544589307159185, 0.0012268509017303586, 0.0040564206428825855, 0.0012955013662576675]"
7,0,7,0,0.0,"[0.20001648366451263, 0.19993416965007782, 0.20011217892169952, 0.19982601702213287, 0.20011113584041595]","[0.0015307238791137934, 0.0016544589307159185, 0.0012268509017303586, 0.0040564206428825855, 0.0012955013662576675]"
8,0,8,0,0.0,"[0.20001648366451263, 0.19993416965007782, 0.20011217892169952, 0.19982601702213287, 0.20011113584041595]","[0.0015307238791137934, 0.0016544589307159185, 0.0012268509017303586, 0.0040564206428825855, 0.0012955013662576675]"
9,0,9,0,0.0,"[0.20001617074012756, 0.1999337524175644, 0.20011308789253235, 0.19982606172561646, 0.20011098682880402]","[0.0015308938454836607, 0.0016544589307159185, 0.0012268509017303586, 0.004056600853800774, 0.0012955033453181386]"
10,0,10,0,0.0,"[0.20001648366451263, 0.19993416965007782, 0.20011217892169952, 0.19982601702213287, 0.20011113584041595]","[0.0015307238791137934, 0.0016544589307159185, 0.0012268509017303586, 0.0040564206428825855, 0.0012955013662576675]"
11,0,11,0,0.0,"[0.20001627504825592, 0.19993408024311066, 0.2001125067472458, 0.19982615113258362, 0.2001110315322876]","[0.00153075042180717, 0.0016544589307159185, 0.0012268509017303586, 0.004053877666592598, 0.0012955013662576675]"
