,block_id,episode,reward,avg_reward,reliability,mse
0,0,0,2680,1566.3333333333333,"[0.1527426540851593, 0.1527426540851593, 0.31333720684051514, 0.1527426540851593, 0.22843486070632935]","[1.0279998779296875, 0.3816090226173401, 0.00012604077346622944, 0.9045897126197815, 0.13206766545772552]"
1,0,1,1060,1566.3333333333333,"[0.1413986086845398, 0.1413986086845398, 0.25289011001586914, 0.1413986086845398, 0.32291409373283386]","[2.5919063091278076, 1.5253092050552368, 0.14872004091739655, 1.2769118547439575, 0.01427382230758667]"
2,0,2,660,1566.3333333333333,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[2.357132911682129, 1.7482937574386597, 0.07418280839920044, 2.1764180660247803, 0.6252119541168213]"
3,0,3,1060,1566.3333333333333,"[0.1413986086845398, 0.1413986086845398, 0.25289011001586914, 0.1413986086845398, 0.32291409373283386]","[2.5919063091278076, 1.5253092050552368, 0.14872004091739655, 1.2769118547439575, 0.01427382230758667]"
4,0,4,1890,1566.3333333333333,"[0.16251710057258606, 0.2182399034500122, 0.29420873522758484, 0.16251710057258606, 0.16251710057258606]","[1.131575584411621, 0.04029737785458565, 0.017865566536784172, 0.5519675612449646, 0.16766345500946045]"
5,0,5,660,1566.3333333333333,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[2.357132911682129, 1.7482937574386597, 0.07418280839920044, 2.1764180660247803, 0.6252119541168213]"
6,0,6,2680,1566.3333333333333,"[0.1527426540851593, 0.1527426540851593, 0.31333720684051514, 0.1527426540851593, 0.22843486070632935]","[1.0279998779296875, 0.3816090226173401, 0.00012604077346622944, 0.9045897126197815, 0.13206766545772552]"
7,0,7,1060,1566.3333333333333,"[0.1413986086845398, 0.1413986086845398, 0.25289011001586914, 0.1413986086845398, 0.32291409373283386]","[2.5919063091278076, 1.5253092050552368, 0.14872004091739655, 1.2769118547439575, 0.01427382230758667]"
8,0,8,1890,1566.3333333333333,"[0.16251710057258606, 0.2182399034500122, 0.29420873522758484, 0.16251710057258606, 0.16251710057258606]","[1.131575584411621, 0.04029737785458565, 0.017865566536784172, 0.5519675612449646, 0.16766345500946045]"
9,0,9,1060,1566.3333333333333,"[0.1413986086845398, 0.1413986086845398, 0.25289011001586914, 0.1413986086845398, 0.32291409373283386]","[2.5919063091278076, 1.5253092050552368, 0.14872004091739655, 1.2769118547439575, 0.01427382230758667]"
10,0,10,660,1566.3333333333333,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[2.357132911682129, 1.7482937574386597, 0.07418280839920044, 2.1764180660247803, 0.6252119541168213]"
11,0,11,1060,1566.3333333333333,"[0.1413986086845398, 0.1413986086845398, 0.25289011001586914, 0.1413986086845398, 0.32291409373283386]","[2.5919063091278076, 1.5253092050552368, 0.14872004091739655, 1.2769118547439575, 0.01427382230758667]"
12,0,12,1890,1566.3333333333333,"[0.16251710057258606, 0.2182399034500122, 0.29420873522758484, 0.16251710057258606, 0.16251710057258606]","[1.131575584411621, 0.04029737785458565, 0.017865566536784172, 0.5519675612449646, 0.16766345500946045]"
13,0,13,1890,1566.3333333333333,"[0.16251710057258606, 0.2182399034500122, 0.29420873522758484, 0.16251710057258606, 0.16251710057258606]","[1.131575584411621, 0.04029737785458565, 0.017865566536784172, 0.5519675612449646, 0.16766345500946045]"
14,0,14,1060,1566.3333333333333,"[0.1413986086845398, 0.1413986086845398, 0.25289011001586914, 0.1413986086845398, 0.32291409373283386]","[2.5919063091278076, 1.5253092050552368, 0.14872004091739655, 1.2769118547439575, 0.01427382230758667]"
15,0,15,1060,1566.3333333333333,"[0.1413986086845398, 0.1413986086845398, 0.25289011001586914, 0.1413986086845398, 0.32291409373283386]","[2.5919063091278076, 1.5253092050552368, 0.14872004091739655, 1.2769118547439575, 0.01427382230758667]"
16,0,16,660,1566.3333333333333,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[2.357132911682129, 1.7482937574386597, 0.07418280839920044, 2.1764180660247803, 0.6252119541168213]"
17,0,17,2680,1566.3333333333333,"[0.1527426540851593, 0.1527426540851593, 0.31333720684051514, 0.1527426540851593, 0.22843486070632935]","[1.0279998779296875, 0.3816090226173401, 0.00012604077346622944, 0.9045897126197815, 0.13206766545772552]"
18,0,18,1890,1566.3333333333333,"[0.16251710057258606, 0.2182399034500122, 0.29420873522758484, 0.16251710057258606, 0.16251710057258606]","[1.131575584411621, 0.04029737785458565, 0.017865566536784172, 0.5519675612449646, 0.16766345500946045]"
19,0,19,1890,1566.3333333333333,"[0.16251710057258606, 0.2182399034500122, 0.29420873522758484, 0.16251710057258606, 0.16251710057258606]","[1.131575584411621, 0.04029737785458565, 0.017865566536784172, 0.5519675612449646, 0.16766345500946045]"
20,0,20,1890,1566.3333333333333,"[0.16251710057258606, 0.2182399034500122, 0.29420873522758484, 0.16251710057258606, 0.16251710057258606]","[1.131575584411621, 0.04029737785458565, 0.017865566536784172, 0.5519675612449646, 0.16766345500946045]"
21,0,21,2680,1566.3333333333333,"[0.1527426540851593, 0.1527426540851593, 0.31333720684051514, 0.1527426540851593, 0.22843486070632935]","[1.0279998779296875, 0.3816090226173401, 0.00012604077346622944, 0.9045897126197815, 0.13206766545772552]"
22,0,22,2680,1566.3333333333333,"[0.1527426540851593, 0.1527426540851593, 0.31333720684051514, 0.1527426540851593, 0.22843486070632935]","[1.0279998779296875, 0.3816090226173401, 0.00012604077346622944, 0.9045897126197815, 0.13206766545772552]"
23,0,23,2680,1566.3333333333333,"[0.1527426540851593, 0.1527426540851593, 0.31333720684051514, 0.1527426540851593, 0.22843486070632935]","[1.0279998779296875, 0.3816090226173401, 0.00012604077346622944, 0.9045897126197815, 0.13206766545772552]"
24,0,24,1060,1566.3333333333333,"[0.1413986086845398, 0.1413986086845398, 0.25289011001586914, 0.1413986086845398, 0.32291409373283386]","[2.5919063091278076, 1.5253092050552368, 0.14872004091739655, 1.2769118547439575, 0.01427382230758667]"
25,0,25,1890,1566.3333333333333,"[0.16251710057258606, 0.2182399034500122, 0.29420873522758484, 0.16251710057258606, 0.16251710057258606]","[1.131575584411621, 0.04029737785458565, 0.017865566536784172, 0.5519675612449646, 0.16766345500946045]"
26,0,26,1890,1566.3333333333333,"[0.16251710057258606, 0.2182399034500122, 0.29420873522758484, 0.16251710057258606, 0.16251710057258606]","[1.131575584411621, 0.04029737785458565, 0.017865566536784172, 0.5519675612449646, 0.16766345500946045]"
27,0,27,660,1566.3333333333333,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[2.357132911682129, 1.7482937574386597, 0.07418280839920044, 2.1764180660247803, 0.6252119541168213]"
28,0,28,1060,1566.3333333333333,"[0.1413986086845398, 0.1413986086845398, 0.25289011001586914, 0.1413986086845398, 0.32291409373283386]","[2.5919063091278076, 1.5253092050552368, 0.14872004091739655, 1.2769118547439575, 0.01427382230758667]"
29,0,29,1060,1566.3333333333333,"[0.1413986086845398, 0.1413986086845398, 0.25289011001586914, 0.1413986086845398, 0.32291409373283386]","[2.5919063091278076, 1.5253092050552368, 0.14872004091739655, 1.2769118547439575, 0.01427382230758667]"
30,1,0,3560,2177.3333333333335,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[9.54042911529541, 6.346041202545166, 0.014189496636390686, 1.8753403425216675, 0.9833963513374329]"
31,1,1,2440,2177.3333333333335,"[0.14527644217014313, 0.2009795904159546, 0.3631910979747772, 0.14527644217014313, 0.14527644217014313]","[5.910035610198975, 0.1929861158132553, 0.04311922565102577, 3.5385935306549072, 0.8156229257583618]"
32,1,2,3340,2177.3333333333335,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[7.525848865509033, 8.072137832641602, 0.07518772780895233, 2.0512561798095703, 1.6424087285995483]"
33,1,3,2890,2177.3333333333335,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[5.388382911682129, 4.316653728485107, 0.02144581638276577, 5.741072654724121, 1.4285671710968018]"
34,1,4,1320,2177.3333333333335,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[1.6360533237457275, 0.7602596282958984, 0.02299451269209385, 0.36981192231178284, 0.8403331637382507]"
35,1,5,1290,2177.3333333333335,"[0.14899992942810059, 0.14899992942810059, 0.37249982357025146, 0.14899992942810059, 0.18050040304660797]","[11.648293495178223, 3.675062894821167, 0.009700722992420197, 6.948009014129639, 0.36646854877471924]"
36,1,6,2600,2177.3333333333335,"[0.1417284607887268, 0.2387055605649948, 0.3361090421676636, 0.1417284607887268, 0.1417284607887268]","[4.955253601074219, 0.1617516428232193, 0.11620029807090759, 1.4249526262283325, 2.414431571960449]"
37,1,7,2730,2177.3333333333335,"[0.1619681566953659, 0.1619681566953659, 0.2666667401790619, 0.24476438760757446, 0.16463249921798706]","[4.520732402801514, 0.8025578260421753, 0.018938928842544556, 0.002700013341382146, 0.22090156376361847]"
38,1,8,1370,2177.3333333333335,"[0.14932309091091156, 0.14932309091091156, 0.25602254271507263, 0.2960081696510315, 0.14932309091091156]","[1.3649801015853882, 3.1382336616516113, 0.08154799044132233, 1.49892389345041e-06, 1.0752981901168823]"
39,1,9,2430,2177.3333333333335,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[8.276179313659668, 4.006529808044434, 0.05197671428322792, 5.198471546173096, 0.9122441411018372]"
40,1,10,1760,2177.3333333333335,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[6.03834867477417, 1.4122234582901, 0.05517250671982765, 3.252816677093506, 0.658622145652771]"
41,1,11,3950,2177.3333333333335,"[0.1406501978635788, 0.1406501978635788, 0.3384394347667694, 0.1406501978635788, 0.2396100014448166]","[3.7281131744384766, 1.2621231079101562, 0.022531617432832718, 1.7049087285995483, 0.14314983785152435]"
42,1,12,690,2177.3333333333335,"[0.14332441985607147, 0.21408511698246002, 0.35594162344932556, 0.14332441985607147, 0.14332441985607147]","[7.406398296356201, 0.22387759387493134, 0.1133674681186676, 2.4256844520568848, 0.9689247012138367]"
43,1,13,2600,2177.3333333333335,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[5.696412563323975, 1.4454718828201294, 0.036978140473365784, 3.3502612113952637, 0.8118635416030884]"
44,1,14,3900,2177.3333333333335,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[14.320082664489746, 3.87626051902771, 0.07478609681129456, 3.6096198558807373, 1.5344161987304688]"
45,1,15,1670,2177.3333333333335,"[0.14005908370018005, 0.14005908370018005, 0.30106303095817566, 0.14005908370018005, 0.27875974774360657]","[2.5447888374328613, 2.2718522548675537, 0.14272944629192352, 2.713064432144165, 0.13014577329158783]"
46,1,16,2690,2177.3333333333335,"[0.14949792623519897, 0.17776143550872803, 0.37374481558799744, 0.14949792623519897, 0.14949792623519897]","[3.2799277305603027, 0.29321369528770447, 0.04226362332701683, 2.547957181930542, 0.99953693151474]"
47,1,17,1770,2177.3333333333335,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[6.148727893829346, 4.0005645751953125, 0.13176046311855316, 1.6510570049285889, 1.4813710451126099]"
48,1,18,1420,2177.3333333333335,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[5.180154323577881, 2.4046108722686768, 0.06866637617349625, 2.0181918144226074, 0.45829543471336365]"
49,1,19,900,2177.3333333333335,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[7.506885528564453, 4.030284881591797, 0.016447627916932106, 3.832340955734253, 2.448981523513794]"
50,1,20,2330,2177.3333333333335,"[0.14942067861557007, 0.14942067861557007, 0.2800317108631134, 0.14942067861557007, 0.27170631289482117]","[0.7126960158348083, 0.4952964782714844, 0.0006563087226822972, 0.8135512471199036, 0.013959568925201893]"
51,1,21,1340,2177.3333333333335,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[5.152276515960693, 1.346903681755066, 0.013004337437450886, 1.9210383892059326, 0.6952183842658997]"
52,1,22,1480,2177.3333333333335,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[12.321174621582031, 4.980111122131348, 0.14747264981269836, 3.962005615234375, 2.809277057647705]"
53,1,23,1740,2177.3333333333335,"[0.1429576873779297, 0.1429576873779297, 0.33659476041793823, 0.2345321625471115, 0.1429576873779297]","[2.0927553176879883, 1.916645884513855, 0.03411300852894783, 0.09041199833154678, 1.43000066280365]"
54,1,24,1360,2177.3333333333335,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[5.063918590545654, 2.1553423404693604, 0.04855735972523689, 1.399905800819397, 0.507063090801239]"
55,1,25,2450,2177.3333333333335,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[11.912521362304688, 5.1790595054626465, 0.00012259204231668264, 1.7746946811676025, 1.4413697719573975]"
56,1,26,1800,2177.3333333333335,"[0.1453283131122589, 0.1453283131122589, 0.3633207678794861, 0.1453283131122589, 0.20069430768489838]","[2.9645297527313232, 1.7332292795181274, 0.028747228905558586, 6.639659404754639, 0.2032398283481598]"
57,1,27,970,2177.3333333333335,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[0.8927615284919739, 0.37353262305259705, 0.0166823398321867, 2.019489049911499, 1.0547946691513062]"
58,1,28,5070,2177.3333333333335,"[0.2168823480606079, 0.15791617333889008, 0.2384510338306427, 0.15791617333889008, 0.228834331035614]","[0.020162025466561317, 0.9025328159332275, 0.03947197273373604, 3.540309190750122, 0.08007960766553879]"
59,1,29,1460,2177.3333333333335,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[4.429606914520264, 1.7455874681472778, 0.05998944863677025, 3.0064802169799805, 1.4615793228149414]"
60,2,0,1960,2023.3333333333333,"[0.14627030491828918, 0.14627030491828918, 0.36567577719688416, 0.14627030491828918, 0.1955132633447647]","[2.028773307800293, 2.2111363410949707, 0.004804203752428293, 5.660039901733398, 0.3275800347328186]"
61,2,1,1930,2023.3333333333333,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[16.825298309326172, 6.666720390319824, 0.13894182443618774, 9.78170394897461, 1.3131593465805054]"
62,2,2,1850,2023.3333333333333,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[11.160372734069824, 5.77617073059082, 0.043862663209438324, 5.778368949890137, 0.8664554953575134]"
63,2,3,2640,2023.3333333333333,"[0.14480964839458466, 0.14480964839458466, 0.36202412843704224, 0.14480964839458466, 0.20354695618152618]","[9.128301620483398, 5.043859958648682, 0.0006801903364248574, 9.652716636657715, 0.22630420327186584]"
64,2,4,1370,2023.3333333333333,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[19.913314819335938, 7.523289203643799, 0.03915759176015854, 3.12752628326416, 1.574303388595581]"
65,2,5,3300,2023.3333333333333,"[0.1538461595773697, 0.1538461595773697, 0.38461539149284363, 0.1538461595773697, 0.1538461595773697]","[13.365909576416016, 6.0894856452941895, 0.060195572674274445, 4.907142639160156, 0.8596634864807129]"
66,2,6,250,2023.3333333333333,"[0.38461539149284363, 0.1538461595773697, 0.1538461595773697, 0.1538461595773697, 0.1538461595773697]","[41.360843658447266, 56.33776092529297, 99.34747314453125, 55.57912063598633, 56.98474884033203]"
67,2,7,1360,2023.3333333333333,"[0.1498505026102066, 0.1498505026102066, 0.28256577253341675, 0.1498505026102066, 0.267882764339447]","[2.392958402633667, 0.9852434396743774, 0.001410150434821844, 0.39152806997299194, 0.02814018540084362]"
68,2,8,1030,2023.3333333333333,"[0.1470627635717392, 0.1470627635717392, 0.3676569163799286, 0.1470627635717392, 0.19115479290485382]","[3.671555757522583, 2.9589967727661133, 0.04135970398783684, 5.357887268066406, 0.3435240089893341]"
